HCPCS,LCD,Description
B4161,Enteral Nutrition,"ENTERAL FORMULA, FOR PEDIATRICS, HYDROLYZED/AMINO ACIDS AND PEPTIDE CHAIN PROTEINS, INCLUDES FATS, CARBOHYDRATES, VITAMINS AND MINERALS, MAY INCLUDE FIBER, ADMINISTERED THROUGH AN ENTERAL FEEDING TUBE, 100 CALORIES = 1 UNIT"
B4162,Enteral Nutrition,"ENTERAL FORMULA, FOR PEDIATRICS, SPECIAL METABOLIC NEEDS FOR INHERITED DISEASE OF METABOLISM, INCLUDES PROTEINS, FATS, CARBOHYDRATES, VITAMINS AND MINERALS, MAY INCLUDE FIBER, ADMINISTERED THROUGH AN ENTERAL FEEDING TUBE, 100 CALORIES = 1 UNIT"
E0147,Walkers,"WALKER, HEAVY DUTY, MULTIPLE BRAKING SYSTEM, VARIABLE WHEEL RESISTANCE"
E0371,Pressure Reducing Support Surfaces - Group 2,"NONPOWERED ADVANCED PRESSURE REDUCING OVERLAY FOR MATTRESS, STANDARD MATTRESS LENGTH AND WIDTH"
E0373,Pressure Reducing Support Surfaces - Group 2,NONPOWERED ADVANCED PRESSURE REDUCING MATTRESS
E0467,Ventilators,"HOME VENTILATOR, MULTI-FUNCTION RESPIRATORY DEVICE, ALSO PERFORMS ANY OR ALL OF THE ADDITIONAL FUNCTIONS OF OXYGEN CONCENTRATION, DRUG NEBULIZATION, ASPIRATION, AND COUGH STIMULATION, INCLUDES ALL ACCESSORIES, COMPONENTS AND SUPPLIES FOR ALL FUNCTIONS"
E0468,Ventilators,"HOME VENTILATOR, DUAL-FUNCTION RESPIRATORY DEVICE, ALSO PERFORMS ADDITIONAL FUNCTION OF COUGH STIMULATION, INCLUDES ALL ACCESSORIES, COMPONENTS AND SUPPLIES FOR ALL FUNCTIONS"
E0486,Oral Appliances for Obstructive Sleep Apnea,"ORAL DEVICE/APPLIANCE USED TO REDUCE UPPER AIRWAY COLLAPSIBILITY, ADJUSTABLE OR NON-ADJUSTABLE, CUSTOM FABRICATED, INCLUDES FITTING AND ADJUSTMENT"
E0574,Nebulizers,ULTRASONIC/ELECTRONIC AEROSOL GENERATOR WITH SMALL VOLUME NEBULIZER
E0636,Patient Lifts,"MULTIPOSITIONAL PATIENT SUPPORT SYSTEM, WITH INTEGRATED LIFT, PATIENT ACCESSIBLE CONTROLS"
E0639,Patient Lifts,"PATIENT LIFT, MOVEABLE FROM ROOM TO ROOM WITH DISASSEMBLY AND REASSEMBLY, INCLUDES ALL COMPONENTS/ACCESSORIES"
E0640,Patient Lifts,"PATIENT LIFT, FIXED SYSTEM, INCLUDES ALL COMPONENTS/ACCESSORIES"
E0650,Pneumatic Compression Devices,"PNEUMATIC COMPRESSOR, NON-SEGMENTAL HOME MODEL"
E0651,Pneumatic Compression Devices,"PNEUMATIC COMPRESSOR, SEGMENTAL HOME MODEL WITHOUT CALIBRATED GRADIENT PRESSURE"
E0652,Pneumatic Compression Devices,"PNEUMATIC COMPRESSOR, SEGMENTAL HOME MODEL WITH CALIBRATED GRADIENT PRESSURE"
E0675,Pneumatic Compression Devices,"PNEUMATIC COMPRESSION DEVICE, HIGH PRESSURE, RAPID INFLATION/DEFLATION CYCLE, FOR ARTERIAL INSUFFICIENCY (UNILATERAL OR BILATERAL SYSTEM)"
E0762,Transcutaneous Electrical Joint Stimulation Devices (TEJSD),"TRANSCUTANEOUS ELECTRICAL JOINT STIMULATION DEVICE SYSTEM, INCLUDES ALL ACCESSORIES"
E0770,Functional Electrical Stimulators (FES),"FUNCTIONAL ELECTRICAL STIMULATOR, TRANSCUTANEOUS STIMULATION OF NERVE AND/OR MUSCLE GROUPS, ANY TYPE, COMPLETE SYSTEM, NOT OTHERWISE SPECIFIED"
E1035,Patient Lifts,"MULTI-POSITIONAL PATIENT TRANSFER SYSTEM, WITH INTEGRATED SEAT, OPERATED BY CARE GIVER, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 LBS"
E1036,Patient Lifts,"MULTI-POSITIONAL PATIENT TRANSFER SYSTEM, EXTRA-WIDE, WITH INTEGRATED SEAT, OPERATED BY CAREGIVER, PATIENT WEIGHT CAPACITY GREATER THAN 300 LBS"
E1405,Oxygen and Oxygen Equipment,OXYGEN AND WATER VAPOR ENRICHING SYSTEM WITH HEATED DELIVERY
E1406,Oxygen and Oxygen Equipment,OXYGEN AND WATER VAPOR ENRICHING SYSTEM WITHOUT HEATED DELIVERY
E2102,Glucose Monitors,"ADJUNCTIVE, NON-IMPLANTED CONTINUOUS GLUCOSE MONITOR OR RECEIVER"
E2103,Glucose Monitors,"NON-ADJUNCTIVE, NON-IMPLANTED CONTINUOUS GLUCOSE MONITOR OR RECEIVER"
E2402,Negative Pressure Wound Therapy Pumps,"NEGATIVE PRESSURE WOUND THERAPY ELECTRICAL PUMP, STATIONARY OR PORTABLE"
E2510,Speech Generating Devices,"SPEECH GENERATING DEVICE, SYNTHESIZED SPEECH, PERMITTING MULTIPLE METHODS OF MESSAGE FORMULATION AND MULTIPLE METHODS OF DEVICE ACCESS"
E2601,Wheelchair Seating,"GENERAL USE WHEELCHAIR SEAT CUSHION, WIDTH LESS THAN 22 INCHES, ANY DEPTH"
E2602,Wheelchair Seating,"GENERAL USE WHEELCHAIR SEAT CUSHION, WIDTH 22 INCHES OR GREATER, ANY DEPTH"
E2603,Wheelchair Seating,"SKIN PROTECTION WHEELCHAIR SEAT CUSHION, WIDTH LESS THAN 22 INCHES, ANY DEPTH"
E2604,Wheelchair Seating,"SKIN PROTECTION WHEELCHAIR SEAT CUSHION, WIDTH 22 INCHES OR GREATER, ANY DEPTH"
E2605,Wheelchair Seating,"POSITIONING WHEELCHAIR SEAT CUSHION, WIDTH LESS THAN 22 INCHES, ANY DEPTH"
E2606,Wheelchair Seating,"POSITIONING WHEELCHAIR SEAT CUSHION, WIDTH 22 INCHES OR GREATER, ANY DEPTH"
E2607,Wheelchair Seating,"SKIN PROTECTION AND POSITIONING WHEELCHAIR SEAT CUSHION, WIDTH LESS THAN 22 INCHES, ANY DEPTH"
E2608,Wheelchair Seating,"SKIN PROTECTION AND POSITIONING WHEELCHAIR SEAT CUSHION, WIDTH 22 INCHES OR GREATER, ANY DEPTH"
E2609,Wheelchair Seating,"CUSTOM FABRICATED WHEELCHAIR SEAT CUSHION, ANY SIZE"
E2610,Wheelchair Seating,"WHEELCHAIR SEAT CUSHION, POWERED"
E2611,Wheelchair Seating,"GENERAL USE WHEELCHAIR BACK CUSHION, WIDTH LESS THAN 22 INCHES, ANY HEIGHT, INCLUDING ANY TYPE MOUNTING HARDWARE"
E2612,Wheelchair Seating,"GENERAL USE WHEELCHAIR BACK CUSHION, WIDTH 22 INCHES OR GREATER, ANY HEIGHT, INCLUDING ANY TYPE MOUNTING HARDWARE"
E2613,Wheelchair Seating,"POSITIONING WHEELCHAIR BACK CUSHION, POSTERIOR, WIDTH LESS THAN 22 INCHES, ANY HEIGHT, INCLUDING ANY TYPE MOUNTING HARDWARE"
E2614,Wheelchair Seating,"POSITIONING WHEELCHAIR BACK CUSHION, POSTERIOR, WIDTH 22 INCHES OR GREATER, ANY HEIGHT, INCLUDING ANY TYPE MOUNTING HARDWARE"
E2615,Wheelchair Seating,"POSITIONING WHEELCHAIR BACK CUSHION, POSTERIOR-LATERAL, WIDTH LESS THAN 22 INCHES, ANY HEIGHT, INCLUDING ANY TYPE MOUNTING HARDWARE"
E2616,Wheelchair Seating,"POSITIONING WHEELCHAIR BACK CUSHION, POSTERIOR-LATERAL, WIDTH 22 INCHES OR GREATER, ANY HEIGHT, INCLUDING ANY TYPE MOUNTING HARDWARE"
E2617,Wheelchair Seating,"CUSTOM FABRICATED WHEELCHAIR BACK CUSHION, ANY SIZE, INCLUDING ANY TYPE MOUNTING HARDWARE"
E2620,Wheelchair Seating,"POSITIONING WHEELCHAIR BACK CUSHION, PLANAR BACK WITH LATERAL SUPPORTS, WIDTH LESS THAN 22 INCHES, ANY HEIGHT, INCLUDING ANY TYPE MOUNTING HARDWARE"
E2621,Wheelchair Seating,"POSITIONING WHEELCHAIR BACK CUSHION, PLANAR BACK WITH LATERAL SUPPORTS, WIDTH 22 INCHES OR GREATER, ANY HEIGHT, INCLUDING ANY TYPE MOUNTING HARDWARE"
E2622,Wheelchair Seating,"SKIN PROTECTION WHEELCHAIR SEAT CUSHION, ADJUSTABLE, WIDTH LESS THAN 22 INCHES, ANY DEPTH"
E2623,Wheelchair Seating,"SKIN PROTECTION WHEELCHAIR SEAT CUSHION, ADJUSTABLE, WIDTH 22 INCHES OR GREATER, ANY DEPTH"
E2624,Wheelchair Seating,"SKIN PROTECTION AND POSITIONING WHEELCHAIR SEAT CUSHION, ADJUSTABLE, WIDTH LESS THAN 22 INCHES, ANY DEPTH"
E2625,Wheelchair Seating,"SKIN PROTECTION AND POSITIONING WHEELCHAIR SEAT CUSHION, ADJUSTABLE, WIDTH 22 INCHES OR GREATER, ANY DEPTH"
K0009,Manual Wheelchair Bases,OTHER MANUAL WHEELCHAIR/BASE 
K0743,Suction Pumps,"SUCTION PUMP, HOME MODEL, PORTABLE, FOR USE ON WOUNDS"
K0800,Power Mobility Devices,"POWER OPERATED VEHICLE, GROUP 1 STANDARD, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0801,Power Mobility Devices,"POWER OPERATED VEHICLE, GROUP 1 HEAVY DUTY, PATIENT WEIGHT CAPACITY 301 TO 450 POUNDS"
K0802,Power Mobility Devices,"POWER OPERATED VEHICLE, GROUP 1 VERY HEAVY DUTY, PATIENT WEIGHT CAPACITY 451 TO 600 POUNDS"
K0806,Power Mobility Devices,"POWER OPERATED VEHICLE, GROUP 2 STANDARD, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0807,Power Mobility Devices,"POWER OPERATED VEHICLE, GROUP 2 HEAVY DUTY, PATIENT WEIGHT CAPACITY 301 TO 450 POUNDS"
K0808,Power Mobility Devices,"POWER OPERATED VEHICLE, GROUP 2 VERY HEAVY DUTY, PATIENT WEIGHT CAPACITY 451 TO 600 POUNDS"
K0812,Power Mobility Devices,"POWER OPERATED VEHICLE, NOT OTHERWISE CLASSIFIED"
K0813,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 1 STANDARD, PORTABLE, SLING/SOLID SEAT AND BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0814,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 1 STANDARD, PORTABLE, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0815,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 1 STANDARD, SLING/SOLID SEAT AND BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0816,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 1 STANDARD, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0820,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 STANDARD, PORTABLE, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0821,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 STANDARD, PORTABLE, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0822,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 STANDARD, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0823,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 STANDARD, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0824,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 HEAVY DUTY, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY 301 TO 450 POUNDS"
K0825,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 HEAVY DUTY, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY 301 TO 450 POUNDS"
K0826,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 VERY HEAVY DUTY, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY 451 TO 600 POUNDS"
K0827,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 VERY HEAVY DUTY, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY 451 TO 600 POUNDS"
K0828,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 EXTRA HEAVY DUTY, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY 601 POUNDS OR MORE"
K0829,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 EXTRA HEAVY DUTY, CAPTAINS CHAIR, PATIENT WEIGHT 601 POUNDS OR MORE"
K0830,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 STANDARD, SEAT ELEVATOR, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0831,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 STANDARD, SEAT ELEVATOR, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0835,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 STANDARD, SINGLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0836,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 STANDARD, SINGLE POWER OPTION, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0837,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 HEAVY DUTY, SINGLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY 301 TO 450 POUNDS"
K0838,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 HEAVY DUTY, SINGLE POWER OPTION, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY 301 TO 450 POUNDS"
K0839,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 VERY HEAVY DUTY, SINGLE POWER OPTION SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY 451 TO 600 POUNDS"
K0840,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 EXTRA HEAVY DUTY, SINGLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY 601 POUNDS OR MORE"
K0841,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 STANDARD, MULTIPLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0842,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 STANDARD, MULTIPLE POWER OPTION, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0843,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 2 HEAVY DUTY, MULTIPLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY 301 TO 450 POUNDS"
K0848,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 3 STANDARD, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0849,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 3 STANDARD, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0850,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 3 HEAVY DUTY, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY 301 TO 450 POUNDS"
K0851,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 3 HEAVY DUTY, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY 301 TO 450 POUNDS"
K0852,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 3 VERY HEAVY DUTY, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY 451 TO 600 POUNDS"
K0853,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 3 VERY HEAVY DUTY, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY 451 TO 600 POUNDS"
K0854,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 3 EXTRA HEAVY DUTY, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY 601 POUNDS OR MORE"
K0855,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 3 EXTRA HEAVY DUTY, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY 601 POUNDS OR MORE"
K0856,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 3 STANDARD, SINGLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0857,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 3 STANDARD, SINGLE POWER OPTION, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0858,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 3 HEAVY DUTY, SINGLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT 301 TO 450 POUNDS"
K0859,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 3 HEAVY DUTY, SINGLE POWER OPTION, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY 301 TO 450 POUNDS"
K0860,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 3 VERY HEAVY DUTY, SINGLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY 451 TO 600 POUNDS"
K0861,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 3 STANDARD, MULTIPLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0862,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 3 HEAVY DUTY, MULTIPLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY 301 TO 450 POUNDS"
K0863,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 3 VERY HEAVY DUTY, MULTIPLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY 451 TO 600 POUNDS"
K0864,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 3 EXTRA HEAVY DUTY, MULTIPLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY 601 POUNDS OR MORE"
K0868,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 4 STANDARD, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0869,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 4 STANDARD, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0870,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 4 HEAVY DUTY, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY 301 TO 450 POUNDS"
K0871,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 4 VERY HEAVY DUTY, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY 451 TO 600 POUNDS"
K0877,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 4 STANDARD, SINGLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0878,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 4 STANDARD, SINGLE POWER OPTION, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0879,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 4 HEAVY DUTY, SINGLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY 301 TO 450 POUNDS"
K0880,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 4 VERY HEAVY DUTY, SINGLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT 451 TO 600 POUNDS"
K0884,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 4 STANDARD, MULTIPLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0885,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 4 STANDARD, MULTIPLE POWER OPTION, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"
K0886,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 4 HEAVY DUTY, MULTIPLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY 301 TO 450 POUNDS"
K0890,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 5 PEDIATRIC, SINGLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 125 POUNDS"
K0891,Power Mobility Devices,"POWER WHEELCHAIR, GROUP 5 PEDIATRIC, MULTIPLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 125 POUNDS"
K0898,Power Mobility Devices,"POWER WHEELCHAIR, NOT OTHERWISE CLASSIFIED"
K1007,Powered Orthoses,"BILATERAL HIP, KNEE, ANKLE, FOOT DEVICE, POWERED, INCLUDES PELVIC COMPONENT, SINGLE OR DOUBLE UPRIGHT(S), KNEE JOINTS ANY TYPE, WITH OR WITHOUT ANKLE JOINTS ANY TYPE, INCLUDES ALL COMPONENTS AND ACCESSORIES, MOTORS,  MICROPROCESSORS, SENSORS"
L0174,Spinal Orthoses,"CERVICAL, COLLAR, SEMI-RIGID, THERMOPLASTIC FOAM, TWO PIECE WITH THORACIC EXTENSION, PREFABRICATED, OFF-THE-SHELF"
L0450,Spinal Orthoses: TLSO and LSO,"TLSO, FLEXIBLE, PROVIDES TRUNK SUPPORT, UPPER THORACIC REGION, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISKS WITH RIGID STAYS OR PANEL(S), INCLUDES SHOULDER STRAPS AND CLOSURES, PREFABRICATED, OFF-THE-SHELF"
L0452,Spinal Orthoses: TLSO and LSO,"TLSO, FLEXIBLE, PROVIDES TRUNK SUPPORT, UPPER THORACIC REGION, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISKS WITH RIGID STAYS OR PANEL(S), INCLUDES SHOULDER STRAPS AND CLOSURES, CUSTOM FABRICATED"
L0454,Spinal Orthoses: TLSO and LSO,"TLSO FLEXIBLE, PROVIDES TRUNK SUPPORT, EXTENDS FROM SACROCOCCYGEAL JUNCTION TO ABOVE T-9 VERTEBRA, RESTRICTS GROSS TRUNK MOTION IN THE SAGITTAL PLANE, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISKS WITH RIGID STAYS OR PANEL(S), INCLUDES SHOULDER STRAPS AND CLOSURES, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
