HCPCS,Mod,Mod2,CATG,TX (NR),TX (R),Description
A4391,,,OS,10.07,0,Urinary pouch w ex wear barr
A4392,,,OS,11.65,0,Urinary pouch w st wear barr
A4393,,,OS,12.88,0,Urine pch w ex wear bar conv
A4394,,,OS,3.69,0,Ostomy pouch liq deodorant
A4395,,,OS,0.05,0,Ostomy pouch solid deodorant
A4396,,,OS,57.69,0,Peristomal hernia supprt blt
A4398,,,OS,17.1,0,Ostomy irrigation bag
A4399,,,OS,14.86,0,Ostomy irrig cone/cath w brs
A4400,,,OS,69.65,0,Ostomy irrigation set
A4402,,,OS,2.27,0,Lubricant per ounce
A4404,,,OS,2.39,0,Ostomy ring each
A4405,,,OS,4.87,0,Nonpectin based ostomy paste
A4406,,,OS,8.16,0,Pectin based ostomy paste
A4407,,,OS,12.48,0,"Ext wear ost skn barr <=4sq"""
A4408,,,OS,14.07,0,"Ext wear ost skn barr >4sq"""
A4409,,,OS,8.84,0,Ost skn barr convex <=4 sq i
A4410,,,OS,12.88,0,Ost skn barr extnd >4 sq
A4411,,,OS,7.26,0,Ost skn barr extnd =4sq
A4412,,,OS,3.86,0,Ost pouch drain high output
A4413,,,OS,7.85,0,2 pc drainable ost pouch
A4414,,,OS,7.01,0,Ost sknbar w/o conv<=4 sq in
A4415,,,OS,8.55,0,Ost skn barr w/o conv >4 sqi
A4416,,,OS,3.93,0,Ost pch clsd w barrier/filtr
A4417,,,OS,5.31,0,Ost pch w bar/bltinconv/fltr
A4418,,,OS,2.58,0,Ost pch clsd w/o bar w filtr
A4419,,,OS,2.46,0,Ost pch for bar w flange/flt
A4420,,,OS,0,0,Ost pch clsd for bar w lk fl
A4422,,,OS,0.15,0,Ost pouch absorbent material
A4423,,,OS,2.64,0,Ost pch for bar w lk fl/fltr
A4424,,,OS,6.78,0,Ost pch drain w bar & filter
A4425,,,OS,5.1,0,Ost pch drain for barrier fl
A4426,,,OS,3.89,0,Ost pch drain 2 piece system
A4427,,,OS,3.98,0,Ost pch drain/barr lk flng/f
A4428,,,OS,9.29,0,Urine ost pouch w faucet/tap
A4429,,,OS,11.76,0,Urine ost pouch w bltinconv
A4430,,,OS,12.14,0,Ost urine pch w b/bltin conv
A4431,,,OS,8.84,0,Ost pch urine w barrier/tapv
A4432,,,OS,5.11,0,Os pch urine w bar/fange/tap
A4433,,,OS,4.78,0,Urine ost pch bar w lock fln
A4434,,,OS,5.36,0,Ost pch urine w lock flng/ft
A4435,,,OS,8.21,0,1pc ost pch drain hgh output
A4436,,,OS,27.33,0,Irr supply sleev reus per mo
A4437,,,OS,27.33,0,Irr supply sleev disp per mo
A4438,,,PO,2.62,0,Adhesive clip ext ens contr
A4450,AU,,OS,0.1,0,Non-waterproof tape
A4450,AV,,OS,0.1,0,Non-waterproof tape
A4450,AW,,OS,0.14,0,Non-waterproof tape
A4452,AU,,OS,0.5,0,Waterproof tape
A4452,AV,,OS,0.5,0,Waterproof tape
A4452,AW,,OS,0.54,0,Waterproof tape
A4453,,,PO,14.04,0,"Rec cath any transanal, each"
A4455,,,OS,1.73,0,Adhesive remover per ounce
A4456,,,OS,0.35,0,"Adhesive remover, wipes"
A4459,,,PO,160.42,0,"Transanal irrigation, any"
A4461,,,SD,4.7,0,Surgicl dress hold non-reuse
A4463,,,SD,18.97,0,Surgical dress holder reuse
A4481,,,OS,0.51,0,Tracheostoma filter
A4483,,,OS,0,0,Moisture exchanger
A4541,,,SU,41.07,0,Monthly supp use with e0733
A4542,,,SU,526.85,0,Supp ext up limb tremor stim
A4544,,,SU,6.34,0,Electro nerve stimulator rls
A4545,,,SU,38.54,0,Suppl accessor tibial stim
A4556,,,SU,17.31,0,"Electrodes, pair"
A4557,,,SU,12.04,22.06,"Lead wires, pair"
A4558,,,SU,6.6,0,Conductive gel or paste
A4559,,,SU,0.13,0,Coupling gel or paste
A4561,,,PO,29.33,0,Pessary reusable rub anytype
A4562,,,PO,72.96,0,Pessary reusable nonrubber
A4563,,,PO,1689.55,0,Vag inser rectal control sys
A4565,,,SC,10.98,0,Slings
A4593,RR,,CR,50.99,0,Neuromod sti sys adj rehab
A4594,NU,,IN,3095.12,0,Neuromod adj rehab mouthpie
A4595,,,SU,12.84,27.55,Tens suppl 2 lead per month
A4596,,,SU,41.07,0,Ces system monthly supp
A4602,NU,,IN,5.31,0,Replace lithium battery 1.5v
A4604,NU,,IN,49.52,68.75,Tubing with heating element
A4605,NU,,IN,23.38,0,Trach suction cath close sys
A4608,,,OX,71.44,0,Transtracheal oxygen cath
A4614,,,IN,33.89,0,Hand-held pefr meter
A4615,,,SU,1.04,0,Cannula nasal
A4616,,,SU,0.08,0,Tubing (oxygen) per foot
A4617,,,SU,4.42,0,Mouth piece
A4618,NU,,IN,10.78,0,Breathing circuits
A4618,RR,,IN,1.25,0,Breathing circuits
A4618,UE,,IN,8.08,0,Breathing circuits
A4619,NU,,IN,2.57,2.61,Face tent
A4620,,,SU,0.86,0,Variable concentration mask
A4623,,,OS,7.95,0,Tracheostomy inner cannula
A4624,NU,,IN,3.76,0,Tracheal suction tube
A4625,,,OS,9.87,0,Trach care kit for new trach
A4626,,,OS,3.86,0,Tracheostomy cleaning brush
A4628,NU,,IN,5.22,0,Oropharyngeal suction cath
A4629,,,OS,6.63,0,Tracheostomy care kit
A4630,NU,,IN,8.88,0,Repl bat t.e.n.s. own by pt
A4633,NU,,IN,58.49,0,Uvl replacement bulb
A4635,NU,,IN,6.19,0,Underarm crutch pad
A4635,RR,,IN,0.94,0,Underarm crutch pad
A4635,UE,,IN,4.13,0,Underarm crutch pad
A4636,NU,,IN,3.97,4.19,Handgrip for cane etc
A4636,NU,KE,IN,0,4.51,Handgrip for cane etc
A4636,RR,,IN,0.4,0.42,Handgrip for cane etc
A4636,RR,KE,IN,0,0.46,Handgrip for cane etc
A4636,UE,,IN,2.98,3.09,Handgrip for cane etc
A4636,UE,KE,IN,0,3.33,Handgrip for cane etc
A4637,NU,,IN,2.2,2.26,Repl tip cane/crutch/walker
A4637,NU,KE,IN,0,2.42,Repl tip cane/crutch/walker
A4637,RR,,IN,0.22,0.27,Repl tip cane/crutch/walker
A4637,RR,KE,IN,0,0.29,Repl tip cane/crutch/walker
A4637,UE,,IN,1.66,1.7,Repl tip cane/crutch/walker
A4637,UE,KE,IN,0,1.83,Repl tip cane/crutch/walker
A4638,NU,,IN,0,0,Repl batt pulse gen sys
A4638,RR,,IN,0,0,Repl batt pulse gen sys
A4638,UE,,IN,0,0,Repl batt pulse gen sys
A4639,RR,,CR,40.94,0,Infrared ht sys replcmnt pad
A4640,NU,,IN,62.21,74.59,Alternating pressure pad
A4640,RR,,IN,6.22,7.53,Alternating pressure pad
A4640,UE,,IN,46.66,54.35,Alternating pressure pad
A5051,,,OS,2.94,0,Pouch clsd w barr attached
A5052,,,OS,2.12,0,Clsd ostomy pouch w/o barr
A5053,,,OS,2.33,0,Clsd ostomy pouch faceplate
A5054,,,OS,2.56,0,Clsd ostomy pouch w/flange
A5055,,,OS,1.99,0,Stoma cap
A5056,,,OS,6.66,0,1 pc ost pouch w filter
A5057,,,OS,13.68,0,1 pc ost pou w built-in conv
A5061,,,OS,5.04,0,Pouch drainable w barrier at
A5062,,,OS,2.96,0,Drnble ostomy pouch w/o barr
A5063,,,OS,3.86,0,Drain ostomy pouch w/flange
A5071,,,OS,8.57,0,Urinary pouch w/barrier
A5072,,,OS,4.91,0,Urinary pouch w/o barrier
A5073,,,OS,4.53,0,Urinary pouch on barr w/flng
A5081,,,OS,4.01,0,"Stoma plug or seal, any type"
A5082,,,OS,16.96,0,Continent stoma catheter
A5083,,,OS,0.92,0,Stoma absorptive cover
A5093,,,OS,2.78,0,Ostomy accessory convex inse
A5102,,,OS,31.92,0,Bedside drain btl w/wo tube
A5105,,,OS,58.11,0,Urinary suspensory
A5112,,,OS,41.95,0,Urinary leg bag
A5113,,,OS,5.7,0,Latex leg strap
A5114,,,OS,12.75,0,Foam/fabric leg strap
A5120,AU,,OS,0.35,0,"Skin barrier, wipe or swab"
A5120,AV,,PO,0.33,0,"Skin barrier, wipe or swab"
A5121,,,OS,10.17,0,Solid skin barrier 6x6
A5122,,,OS,15.56,0,Solid skin barrier 8x8
A5126,,,OS,1.87,0,Disk/foam pad +or- adhesive
A5131,,,OS,22.59,0,Appliance cleaner
A5200,,,OS,16.1,0,Percutaneous catheter anchor
A5500,,,TS,90.63,0,Diab shoe for density insert
A5501,,,TS,271.8,0,Diabetic custom molded shoe
A5503,,,TS,45.79,0,Diabetic shoe w/roller/rockr
A5504,,,TS,45.79,0,Diabetic shoe with wedge
A5505,,,TS,45.79,0,Diab shoe w/metatarsal bar
A5506,,,TS,45.79,0,Diabetic shoe w/off set heel
A5507,,,TS,45.79,0,Modification diabetic shoe
A5512,,,TS,36.96,0,Multi den insert direct form
A5513,,,TS,55.16,0,Multi den insert custom mold
A5514,,,TS,55.16,0,Mult den insert dir carv/cam
A6010,,,SD,44.14,0,Collagen based wound filler
A6011,,,SD,3.25,0,Collagen gel/paste wound fil
A6021,,,SD,29.97,0,Collagen dressing <=16 sq in
A6022,,,SD,29.97,0,Collagen drsg>16<=48 sq in
A6023,,,SD,271.22,0,Collagen dressing >48 sq in
A6024,,,SD,8.81,0,Collagen dsg wound filler
A6154,,,SD,19.86,0,Wound pouch each
A6196,,,SD,10.49,0,Alginate dressing <=16 sq in
A6197,,,SD,23.44,0,Alginate drsg >16 <=48 sq in
A6199,,,SD,7.52,0,Alginate drsg wound filler
A6203,,,SD,4.8,0,Composite drsg <= 16 sq in
A6204,,,SD,8.86,0,Composite drsg >16<=48 sq in
A6207,,,SD,10.47,0,Contact layer >16<= 48 sq in
A6209,,,SD,10.65,0,Foam drsg <=16 sq in w/o bdr
A6210,,,SD,28.4,0,Foam drg >16<=48 sq in w/o b
A6211,,,SD,41.86,0,Foam drg > 48 sq in w/o brdr
A6212,,,SD,13.84,0,Foam drg <=16 sq in w/border
A6214,,,SD,14.68,0,Foam drg > 48 sq in w/border
A6216,,,SD,0.05,0,Non-sterile gauze<=16 sq in
A6217,,,SD,0,0,Non-sterile gauze>16<=48 sq
A6219,,,SD,1.36,0,Gauze <= 16 sq in w/border
A6220,,,SD,3.69,0,Gauze >16 <=48 sq in w/bordr
A6222,,,SD,3.04,0,Gauze <=16 in no w/sal w/o b
A6223,,,SD,3.46,0,Gauze >16<=48 no w/sal w/o b
A6224,,,SD,5.13,0,Gauze > 48 in no w/sal w/o b
A6229,,,SD,5.13,0,Gauze >16<=48 sq in watr/sal
A6231,,,SD,6.66,0,Hydrogel dsg<=16 sq in
A6232,,,SD,9.78,0,Hydrogel dsg>16<=48 sq in
A6233,,,SD,27.33,0,Hydrogel dressing >48 sq in
A6234,,,SD,9.33,0,Hydrocolld drg <=16 w/o bdr
A6235,,,SD,23.97,0,Hydrocolld drg >16<=48 w/o b
A6236,,,SD,38.83,0,Hydrocolld drg > 48 in w/o b
A6237,,,SD,11.27,0,Hydrocolld drg <=16 in w/bdr
A6238,,,SD,32.5,0,Hydrocolld drg >16<=48 w/bdr
A6240,,,SD,17.45,0,Hydrocolld drg filler paste
A6241,,,SD,3.66,0,Hydrocolloid drg filler dry
A6242,,,SD,8.63,0,Hydrogel drg <=16 in w/o bdr
A6243,,,SD,17.56,0,Hydrogel drg >16<=48 w/o bdr
A6244,,,SD,55.99,0,Hydrogel drg >48 in w/o bdr
A6245,,,SD,10.36,0,Hydrogel drg <= 16 in w/bdr
A6246,,,SD,14.16,0,Hydrogel drg >16<=48 in w/b
A6247,,,SD,33.89,0,Hydrogel drg > 48 sq in w/b
A6248,,,SD,23.15,0,Hydrogel drsg gel filler
A6251,,,SD,2.84,0,Absorpt drg <=16 sq in w/o b
A6252,,,SD,4.64,0,Absorpt drg >16 <=48 w/o bdr
A6253,,,SD,9.03,0,Absorpt drg > 48 sq in w/o b
A6254,,,SD,1.7,0,Absorpt drg <=16 sq in w/bdr
A6255,,,SD,4.34,0,Absorpt drg >16<=48 in w/bdr
A6257,,,SD,2.18,0,Transparent film <= 16 sq in
A6258,,,SD,6.14,0,Transparent film >16<=48 in
A6259,,,SD,15.59,0,Transparent film > 48 sq in
A6266,,,SD,2.72,0,Impreg gauze no h20/sal/yard
A6402,,,SD,0.15,0,Sterile gauze <= 16 sq in
A6403,,,SD,0.58,0,Sterile gauze>16 <= 48 sq in
A6407,,,SD,2.66,0,"Packing strips, non-impreg"
A6410,,,SD,0.53,0,Sterile eye pad
A6411,,,SD,0,0,Non-sterile eye pad
A6441,,,SD,0.97,0,"Pad band w>=3"" <5""/yd"
A6442,,,SD,0.23,0,"Conform band n/s w<3""/yd"
A6443,,,SD,0.4,0,"Conform band n/s w>=3""<5""/yd"
A6444,,,SD,0.8,0,"Conform band n/s w>=5""/yd"
A6445,,,SD,0.45,0,"Conform band s w <3""/yd"
A6446,,,SD,0.55,0,"Conform band s w>=3"" <5""/yd"
A6447,,,SD,0.97,0,"Conform band s w >=5""/yd"
A6448,,,SD,1.64,0,"Lt compres band <3""/yd"
A6449,,,SD,2.5,0,"Lt compres band >=3"" <5""/yd"
A6450,,,SD,2.5,0,"Lt compres band >=5""/yd"
A6451,,,SD,2.5,0,"Mod compres band w>=3""<5""/yd"
A6452,,,SD,8.4,0,"High compres band w>=3""<5""yd"
A6453,,,SD,0.9,0,"Self-adher band w <3""/yd"
A6454,,,SD,1.12,0,"Self-adher band w>=3"" <5""/yd"
A6455,,,SD,1.99,0,"Self-adher band >=5""/yd"
A6456,,,SD,1.79,0,"Zinc paste band w >=3""<5""/yd"
A6457,,,SD,1.62,0,Tubular dressing
A6501,,,SD,0,0,Compres burngarment bodysuit
A6502,,,SD,0,0,Compres burngarment chinstrp
A6503,,,SD,0,0,Compres burngarment facehood
A6504,,,SD,0,0,Cmprsburngarment glove-wrist
A6505,,,SD,0,0,Cmprsburngarment glove-elbow
A6506,,,SD,0,0,Cmprsburngrmnt glove-axilla
A6507,,,SD,0,0,Cmprs burngarment foot-knee
A6508,,,SD,0,0,Cmprs burngarment foot-thigh
A6509,,,SD,0,0,Compres burn garment jacket
A6510,,,SD,0,0,Compres burn garment leotard
A6511,,,SD,0,0,Compres burn garment panty
A6513,,,SD,0,0,Compress burn mask face/neck
A6520,,,LC,126.45,0,G com garmnt glove nghttime
A6521,,,LC,501.75,0,G com garmnt glove nght cust
A6522,,,LC,307.26,0,G com garment arm nighttime
A6523,,,LC,729.02,0,G com garment arm nght custm
A6524,,,LC,383.34,0,G com garmnt lwr leg/ft nght
A6525,,,LC,773.9,0,G com garm lwrleg/ft ngt cus
A6526,,,LC,693.06,0,G com garmt full leg/ft nght
A6527,,,LC,1274.45,0,G garmt full leg/ft nght cus
A6528,,,LC,666.42,0,G com garment bra nighttime
A6529,,,LC,1053.04,0,G com garmt bra night custm
A6530,,,LC,39.07,0,Compression stocking bk18-30
A6531,AW,,SD,61.66,0,Compress stking bk30-40 surg
A6532,AW,,SD,86.88,0,Compress stking bk40-50 surg
A6533,,,LC,54.86,0,Gc stocking thighlngth 18-30
A6534,,,LC,62.65,0,Gc stocking thighlngth 30-40
A6535,,,LC,72.13,0,Gc stocking thighlngth 40+
A6536,,,LC,73.95,0,Gc stocking full lngth 18-30
A6537,,,LC,87.67,0,Gc stocking full lngth 30-40
A6538,,,LC,102.65,0,Gc stocking full lngth 40+
A6539,,,LC,97.86,0,Gc stocking waistlngth 18-30
A6540,,,LC,116.68,0,Gc stocking waistlngth 30-40
A6541,,,LC,138.21,0,Gc stocking waistlngth 40+
A6545,AW,,SD,121.41,0,Grad com non-elastic bk surg
A6550,,,SU,31.35,33.7,Neg pres wound ther drsg set
A6552,,,LC,57.97,0,Grad com stocking bk 30-40
A6553,,,LC,226.38,0,G com stcking bk 30-40 custm
A6554,,,LC,79.72,0,Grad com stocking bk 40+
A6555,,,LC,226.38,0,G com stcking bk 40+ custm
A6556,,,LC,310.25,0,G com stcking thgh18-30 cust
A6557,,,LC,310.25,0,G com stcking thgh30-40 cust
A6558,,,LC,320.17,0,G com stcking thgh 40+ cust
A6562,,,LC,1015.37,0,G com stckng waist18-30 cust
A6563,,,LC,1015.37,0,G com stckng waist30-40 cust
A6564,,,LC,1093.78,0,G com stckng waist 40+ cust
A6565,,,LC,175.45,0,Grad comp gauntlet custom
A6566,,,LC,254.75,0,Grad com garment neck/head
A6567,,,LC,800.42,0,G com garment neck/head cust
A6568,,,LC,166.26,0,G com garment torso/shldr
A6569,,,LC,946.74,0,G com garmnt torso/shdr cust
A6570,,,LC,113.28,0,Grad com garment genital
A6571,,,LC,680.84,0,G com garment genital custm
A6572,,,LC,105.11,0,Grad com garment toe caps
A6573,,,LC,249.43,0,Grad com garmnt toe cap cust
A6574,,,LC,317.99,0,Custom gradient sleev/glov
A6575,,,LC,103.05,0,Gradient comp sleev/glov
A6576,,,LC,195.16,0,Custom grad com sleeve med
A6577,,,LC,161.53,0,Custom grad cm sleeve heavy
A6578,,,LC,79.55,0,Gradient comp sleeve
A6579,,,LC,313.26,0,Custom grad com glove med
A6580,,,LC,310.96,0,Custom grad com glove heavy
A6581,,,LC,72.99,0,Gradient comp glove
A6582,,,LC,48.68,0,Gradient comp gauntlet
A6583,,,LC,160.13,0,Grad com wrap w straps bk
A6585,,,LC,189.6,0,Grad com wrap w straps ak
A6586,,,LC,558.59,0,Grad com wrap w strap fu leg
A6587,,,LC,73.17,0,Grad com wrap w straps foot
A6588,,,LC,243.87,0,Grad com wrap w strap arm
A6589,,,LC,96.27,0,Grad com wrap w straps bra
A6590,,,SU,379.2,0,urinary cath disp suc pump
A6591,,,SU,90.64,0,Urinary cath suc pump
A6594,,,LC,35.05,0,G comp bandge liner lwr extr
A6595,,,LC,34.48,0,G comp bandge liner upr extr
A6596,,,LC,0.18,0,G comp bandge conform gauze
A6597,,,LC,1.55,0,G comp bandage long stretch
A6598,,,LC,0.75,0,G comp bandage med stretch
A6599,,,LC,1.7,0,G comp bandage short stretch
A6600,,,LC,3.07,0,G com bandge hgh dn foam sht
A6601,,,LC,3.45,0,G com bandge hgh dn foam pad
A6602,,,LC,5.03,0,G com bandge hgh dn foamroll
A6603,,,LC,2.36,0,G com bandge low dn foamchnl
A6604,,,LC,1.38,0,G com bandge low dn foam flt
A6605,,,LC,1.57,0,G com bandage padded foam
A6606,,,LC,4.67,0,G com bandage padded textile
A6607,,,LC,1.25,0,G com bandage tub protct lyr
A6608,,,LC,5.21,0,G com bandage tub protct pad
A6610,,,LC,226.38,0,G com stcking bk 18-30 custm
A7000,NU,,IN,10.53,11.2,Disposable canister for pump
A7000,NU,KE,IN,0,12.08,Disposable canister for pump
A7001,NU,,IN,40.06,0,Nondisposable pump canister
A7002,NU,,IN,4.65,0,Tubing used w suction pump
A7003,NU,,IN,1.94,2.9,Nebulizer administration set
A7004,NU,,IN,1.57,1.96,Disposable nebulizer sml vol
A7005,NU,,IN,13.99,26.84,Nondisposable nebulizer set
A7006,NU,,IN,8.31,11.72,Filtered nebulizer admin set
A7007,NU,,IN,3.72,5.16,Lg vol nebulizer disposable
A7008,NU,,IN,13.32,0,Disposable nebulizer prefill
A7009,NU,,IN,55.64,0,Nebulizer reservoir bottle
A7010,NU,,IN,17.61,24.86,Disposable corrugated tubing
A7012,NU,,IN,3.25,4.5,Nebulizer water collec devic
A7013,NU,,IN,0.64,0.88,Disposable compressor filter
A7014,NU,,IN,3.82,5.33,Compressor nondispos filter
A7015,NU,,IN,1.53,2.21,Aerosol mask used w nebulize
A7016,NU,,IN,9.31,0,Nebulizer dome & mouthpiece
A7017,NU,,IN,130.82,175.48,Nebulizer not used w oxygen
A7017,RR,,IN,13.08,17.56,Nebulizer not used w oxygen
A7017,UE,,IN,98.12,131.61,Nebulizer not used w oxygen
A7018,,,SU,0.38,0.45,Water distilled w/nebulizer
A7020,NU,,IN,19.87,0,"Interface, cough stim device"
A7021,NU,,IN,135.58,0,Suppl and access lung expan
A7025,RR,,CR,61.99,0,Replace chest compress vest
A7026,NU,,IN,40.96,0,Replace chst cmprss sys hose
A7027,NU,,IN,147.14,210.94,Combination oral/nasal mask
A7028,NU,,IN,40.86,58.64,Repl oral cushion combo mask
A7029,NU,,IN,19.35,25.11,Repl nasal pillow comb mask
A7030,NU,,IN,109.65,177.85,Cpap full face mask
A7031,NU,,IN,41.7,66.42,Replacement facemask interfa
A7032,NU,,IN,23.43,38.07,Replacement nasal cushion
A7033,NU,,IN,19.37,28.25,Replacement nasal pillows
A7034,NU,,IN,70,111.03,Nasal application device
A7035,NU,,IN,22.56,34.12,Pos airway press headgear
A7036,NU,,IN,13,16.84,Pos airway press chinstrap
A7037,NU,,IN,14.74,31.86,Pos airway pressure tubing
A7038,NU,,IN,2.63,4.61,Pos airway pressure filter
A7039,NU,,IN,7.68,12.22,"Filter, non disposable w pap"
A7040,,,PO,57.96,0,One way chest drain valve
A7041,,,PO,108.93,0,Water seal drain container
A7044,NU,,IN,99.64,131.93,Pap oral interface
A7045,NU,,IN,14.31,20.35,Repl exhalation port for pap
A7045,RR,,IN,1.43,2.03,Repl exhalation port for pap
A7045,UE,,IN,10.73,15.27,Repl exhalation port for pap
A7046,NU,,IN,16.26,21.23,"Repl water chamber, pap dev"
A7047,NU,,IN,172.31,0,Resp suction oral interface
A7048,,,PO,60.62,0,Vacuum drain bottle/tube kit
A7501,,,OS,149.66,0,Tracheostoma valve w diaphra
A7502,,,OS,71.15,0,Replacement diaphragm/fplate
A7503,,,OS,16.17,0,Hmes filter holder or cap
A7504,,,OS,0.97,0,Tracheostoma hmes filter
A7505,,,OS,6.68,0,Hmes or trach valve housing
A7506,,,OS,0.46,0,Hmes/trachvalve adhesivedisk
A7507,,,OS,3.56,0,Integrated filter & holder
A7508,,,OS,4.09,0,Housing & integrated adhesiv
A7509,,,OS,2.01,0,Heat & moisture exchange sys
A7520,,,OS,67.66,0,Trach/laryn tube non-cuffed
A7521,,,OS,67.04,0,Trach/laryn tube cuffed
A7522,,,OS,64.36,0,Trach/laryn tube stainless
A7524,,,OS,110.33,0,Tracheostoma stent/stud/bttn
A7525,,,OS,2.94,0,Tracheostomy mask
A7526,,,OS,4.83,0,Tracheostomy tube collar
A7527,,,OS,5.1,0,Trach/laryn tube plug/stop
A8000,NU,,IN,218.57,0,Soft protect helmet prefab
A8000,RR,,IN,21.86,0,Soft protect helmet prefab
A8000,UE,,IN,163.97,0,Soft protect helmet prefab
A8001,NU,,IN,218.57,0,Hard protect helmet prefab
A8001,RR,,IN,21.86,0,Hard protect helmet prefab
A8001,UE,,IN,163.97,0,Hard protect helmet prefab
A8002,NU,,IN,0,0,Soft protect helmet custom
A8002,RR,,IN,0,0,Soft protect helmet custom
A8002,UE,,IN,0,0,Soft protect helmet custom
A8003,NU,,IN,0,0,Hard protect helmet custom
A8003,RR,,IN,0,0,Hard protect helmet custom
