HCPCS,Modifier,"Maximum
Allowable","Effective
Date",End Date
L3460,NU,$24.76,03/01/23,
L3460,RR,$2.48,03/01/23,
L3465,,$42.19,03/01/23,
L3465,NU,$42.19,03/01/23,
L3465,RR,$4.22,03/01/23,
L3470,,$44.94,03/01/23,
L3470,NU,$44.94,03/01/23,
L3470,RR,$4.49,03/01/23,
L3480,,$44.94,03/01/23,
L3480,NU,$44.94,03/01/23,
L3480,RR,$4.49,03/01/23,
L3500,,$21.12,03/01/23,
L3500,NU,$21.12,03/01/23,
L3500,RR,$2.11,03/01/23,
L3510,,$21.12,03/01/23,
L3510,NU,$21.12,03/01/23,
L3510,RR,$2.11,03/01/23,
L3520,,$22.93,03/01/23,
L3520,NU,$22.93,03/01/23,
L3520,RR,$2.29,03/01/23,
L3530,,$22.93,03/01/23,
L3530,NU,$22.93,03/01/23,
L3530,RR,$2.29,03/01/23,
L3540,,$36.69,03/01/23,
L3540,NU,$36.69,03/01/23,
L3540,RR,$3.67,03/01/23,
L3550,,$6.43,03/01/23,
L3550,NU,$6.43,03/01/23,
L3550,RR,$0.65,03/01/23,
L3560,,$16.50,03/01/23,
L3560,NU,$16.50,03/01/23,
L3560,RR,$1.65,03/01/23,
L3570,,$61.44,03/01/23,
L3570,NU,$61.44,03/01/23,
L3570,RR,$6.15,03/01/23,
L3580,,$46.78,03/01/23,
L3580,NU,$46.78,03/01/23,
L3580,RR,$4.68,03/01/23,
L3590,,$38.54,03/01/23,
L3590,NU,$38.54,03/01/23,
L3590,RR,$3.86,03/01/23,
L3595,,$30.26,03/01/23,
L3595,NU,$30.26,03/01/23,
L3595,RR,$3.03,03/01/23,
L3600,,$55.05,03/01/23,
L3600,NU,$55.05,03/01/23,
L3600,RR,$5.51,03/01/23,
L3610,,$72.46,03/01/23,
L3610,NU,$72.46,03/01/23,
L3610,RR,$7.25,03/01/23,
L3620,,$55.05,03/01/23,
L3620,NU,$55.05,03/01/23,
L3620,RR,$5.51,03/01/23,
L3630,,$72.46,03/01/23,
L3630,NU,$72.46,03/01/23,
L3630,RR,$7.25,03/01/23,
L3640,,$31.17,03/01/23,
L3640,NU,$31.17,03/01/23,
L3640,RR,$3.11,03/01/23,
L3650,,$42.66,03/01/23,
L3650,NU,$42.66,03/01/23,
L3650,RR,$4.26,03/01/23,
L3660,,$67.46,03/01/23,
L3660,NU,$67.46,03/01/23,
L3660,RR,$6.75,03/01/23,
L3670,,$77.07,03/01/23,
L3670,NU,$77.07,03/01/23,
L3670,RR,$7.70,03/01/23,
L3671,,$591.45,03/01/23,
L3671,NU,$591.45,03/01/23,
L3671,RR,$59.15,03/01/23,
L3674,,$775.88,03/01/23,
L3674,NU,$775.88,03/01/23,
L3674,RR,$77.59,03/01/23,
L3675,,$115.19,03/01/23,
L3675,NU,$115.19,03/01/23,
L3675,RR,$11.52,03/01/23,
L3677,,$102.37,03/01/23,
L3677,NU,$102.37,03/01/23,
L3677,RR,$10.24,03/01/23,
L3702,,$189.55,03/01/23,
L3702,NU,$189.55,03/01/23,
L3702,RR,$18.96,03/01/23,
L3710,,$97.51,03/01/23,
L3710,NU,$97.51,03/01/23,
L3710,RR,$9.75,03/01/23,
L3720,,$498.03,03/01/23,
L3720,NU,$498.03,03/01/23,
L3720,RR,$49.80,03/01/23,
L3730,,$728.46,03/01/23,
L3730,NU,$728.46,03/01/23,
L3730,RR,$72.85,03/01/23,
L3740,,$935.39,03/01/23,
L3740,NU,$935.39,03/01/23,
L3740,RR,$93.54,03/01/23,
L3760,,$328.25,03/01/23,
L3760,NU,$328.25,03/01/23,
L3760,RR,$32.82,03/01/23,
L3761,,$328.25,03/01/23,
L3761,NU,$328.25,03/01/23,
L3761,RR,$32.82,03/01/23,
L3762,,$70.60,03/01/23,
L3762,NU,$70.60,03/01/23,
L3762,RR,$7.06,03/01/23,
L3763,,$459.54,03/01/23,
L3763,NU,$459.54,03/01/23,
L3763,RR,$45.95,03/01/23,
L3764,,$499.32,03/01/23,
L3764,NU,$499.32,03/01/23,
L3764,RR,$49.93,03/01/23,
L3765,,$841.64,03/01/23,
L3765,NU,$841.64,03/01/23,
L3765,RR,$84.16,03/01/23,
L3766,,$891.24,03/01/23,
L3766,NU,$891.24,03/01/23,
L3766,RR,$89.13,03/01/23,
L3806,,$298.16,03/01/23,
L3806,NU,$298.16,03/01/23,
L3806,RR,$29.82,03/01/23,
L3807,,$164.14,03/01/23,
L3807,NU,$164.14,03/01/23,
L3807,RR,$16.42,03/01/23,
L3808,,$219.35,03/01/23,
L3808,NU,$219.35,03/01/23,
L3808,RR,$21.94,03/01/23,
L3809,,$164.14,03/01/23,
L3809,NU,$164.14,03/01/23,
L3809,RR,$16.42,03/01/23,
L3891,,$14.13,03/01/23,
L3891,NU,$14.13,03/01/23,
L3891,RR,$1.41,03/01/23,
L3900,,$858.03,03/01/23,
L3900,NU,$858.03,03/01/23,
L3900,RR,$85.80,03/01/23,
L3901,,"$1,054.88",03/01/23,
L3901,NU,"$1,054.88",03/01/23,
L3901,RR,$105.49,03/01/23,
L3904,,"$1,922.29",03/01/23,
L3904,NU,"$1,922.29",03/01/23,
L3904,RR,$192.23,03/01/23,
L3905,,$650.92,03/01/23,
L3905,NU,$650.92,03/01/23,
L3905,RR,$65.09,03/01/23,
L3906,,$259.37,03/01/23,
L3906,NU,$259.37,03/01/23,
L3906,RR,$25.94,03/01/23,
L3908,,$39.32,03/01/23,
L3908,NU,$39.32,03/01/23,
L3908,RR,$3.93,03/01/23,
L3912,,$81.84,03/01/23,
L3912,NU,$81.84,03/01/23,
L3912,RR,$8.19,03/01/23,
L3913,,$177.78,03/01/23,
L3913,NU,$177.78,03/01/23,
L3913,RR,$17.78,03/01/23,
L3915,,$348.93,03/01/23,
L3915,NU,$348.93,03/01/23,
L3915,RR,$34.89,03/01/23,
L3916,,$348.93,03/01/23,
L3916,NU,$348.93,03/01/23,
L3916,RR,$34.89,03/01/23,
L3917,,$69.32,03/01/23,
L3917,NU,$69.32,03/01/23,
L3917,RR,$6.93,03/01/23,
L3918,,$69.32,03/01/23,
L3918,NU,$69.32,03/01/23,
L3918,RR,$6.93,03/01/23,
L3919,,$177.78,03/01/23,
L3919,NU,$177.78,03/01/23,
L3919,RR,$17.78,03/01/23,
L3921,,$210.82,03/01/23,
L3921,NU,$210.82,03/01/23,
L3921,RR,$21.08,03/01/23,
L3923,,$57.10,03/01/23,
L3923,NU,$57.10,03/01/23,
L3923,RR,$5.71,03/01/23,
L3924,,$57.10,03/01/23,
L3924,NU,$57.10,03/01/23,
L3924,RR,$5.71,03/01/23,
L3925,,$35.27,03/01/23,
L3925,NU,$35.27,03/01/23,
L3925,RR,$3.53,03/01/23,
L3927,,$22.97,03/01/23,
L3927,NU,$22.97,03/01/23,
L3927,RR,$2.30,03/01/23,
L3929,,$60.38,03/01/23,
L3929,NU,$60.38,03/01/23,
L3929,RR,$6.04,03/01/23,
L3930,,$60.38,03/01/23,
L3930,NU,$60.38,03/01/23,
L3930,RR,$6.04,03/01/23,
L3931,,$134.84,03/01/23,
L3931,NU,$134.84,03/01/23,
L3931,RR,$13.48,03/01/23,
L3933,,$140.05,03/01/23,
L3933,NU,$140.05,03/01/23,
L3933,RR,$14.01,03/01/23,
L3935,,$145.04,03/01/23,
L3935,NU,$145.04,03/01/23,
L3935,RR,$14.50,03/01/23,
L3956,,$32.50,03/01/23,
L3956,NU,$32.50,03/01/23,
L3956,RR,$3.25,03/01/23,
L3960,,$588.20,03/01/23,
L3960,NU,$588.20,03/01/23,
L3960,RR,$58.82,03/01/23,
L3961,,"$1,102.80",03/01/23,
L3961,NU,"$1,102.80",03/01/23,
L3961,RR,$110.28,03/01/23,
L3962,,$470.97,03/01/23,
L3962,NU,$470.97,03/01/23,
L3962,RR,$47.10,03/01/23,
L3967,,"$1,302.07",03/01/23,
L3967,NU,"$1,302.07",03/01/23,
L3967,RR,$130.21,03/01/23,
L3971,,"$1,235.93",03/01/23,
L3971,NU,"$1,235.93",03/01/23,
L3971,RR,$123.60,03/01/23,
L3973,,"$1,302.07",03/01/23,
L3973,NU,"$1,302.07",03/01/23,
L3973,RR,$130.21,03/01/23,
L3975,,"$1,102.80",03/01/23,
L3975,NU,"$1,102.80",03/01/23,
L3975,RR,$110.28,03/01/23,
L3976,,"$1,102.80",03/01/23,
L3976,NU,"$1,102.80",03/01/23,
L3976,RR,$110.28,03/01/23,
L3977,,"$1,235.93",03/01/23,
L3977,NU,"$1,235.93",03/01/23,
L3977,RR,$123.60,03/01/23,
L3978,,"$1,302.07",03/01/23,
L3978,NU,"$1,302.07",03/01/23,
L3978,RR,$130.21,03/01/23,
L3980,,$241.64,03/01/23,
L3980,NU,$241.64,03/01/23,
L3980,RR,$24.17,03/01/23,
L3981,,$660.71,03/01/23,
L3981,NU,$660.71,03/01/23,
L3981,RR,$66.07,03/01/23,
L3982,,$272.69,03/01/23,
L3982,NU,$272.69,03/01/23,
L3982,RR,$27.27,03/01/23,
L3984,,$237.23,03/01/23,
L3984,NU,$237.23,03/01/23,
L3984,RR,$23.73,03/01/23,
L3995,,$27.99,03/01/23,
L3995,NU,$27.99,03/01/23,
L3995,RR,$2.80,03/01/23,
L4000,,$903.88,03/01/23,
L4000,NU,$903.88,03/01/23,
L4000,RR,$90.39,03/01/23,
L4002,,$7.22,03/01/23,
L4002,NU,$7.22,03/01/23,
L4002,RR,$0.72,03/01/23,
L4010,,$461.94,03/01/23,
L4010,NU,$461.94,03/01/23,
L4010,RR,$46.19,03/01/23,
L4020,,$675.53,03/01/23,
L4020,NU,$675.53,03/01/23,
L4020,RR,$67.55,03/01/23,
L4030,,$441.76,03/01/23,
L4030,NU,$441.76,03/01/23,
L4030,RR,$44.17,03/01/23,
L4040,,$287.93,03/01/23,
L4040,NU,$287.93,03/01/23,
L4040,RR,$28.79,03/01/23,
L4045,,$220.05,03/01/23,
L4045,NU,$220.05,03/01/23,
L4045,RR,$22.00,03/01/23,
L4050,,$276.94,03/01/23,
L4050,NU,$276.94,03/01/23,
L4050,RR,$27.70,03/01/23,
L4055,,$182.68,03/01/23,
L4055,NU,$182.68,03/01/23,
L4055,RR,$18.27,03/01/23,
L4060,,$213.18,03/01/23,
L4060,NU,$213.18,03/01/23,
L4060,RR,$21.32,03/01/23,
L4070,,$237.64,03/01/23,
L4070,NU,$237.64,03/01/23,
L4070,RR,$23.77,03/01/23,
L4080,,$67.85,03/01/23,
L4080,NU,$67.85,03/01/23,
L4080,RR,$6.79,03/01/23,
L4090,,$76.64,03/01/23,
L4090,NU,$76.64,03/01/23,
L4090,RR,$7.66,03/01/23,
L4100,,$78.70,03/01/23,
L4100,NU,$78.70,03/01/23,
L4100,RR,$7.87,03/01/23,
L4110,,$62.95,03/01/23,
L4110,NU,$62.95,03/01/23,
L4110,RR,$6.30,03/01/23,
L4130,,$387.89,03/01/23,
L4130,NU,$387.89,03/01/23,
L4130,RR,$38.79,03/01/23,
L4205,,$19.82,03/01/23,
L4205,NU,$19.82,03/01/23,
L4205,RR,$1.98,03/01/23,
L4210,,$47.65,03/01/23,
L4210,NU,$47.65,03/01/23,
L4210,RR,$4.77,03/01/23,
L4350,,$61.67,03/01/23,
L4350,NU,$61.67,03/01/23,
L4350,RR,$6.17,03/01/23,
L4360,,$185.74,03/01/23,
L4360,NU,$185.74,03/01/23,
L4360,RR,$18.58,03/01/23,
L4361,,$185.74,03/01/23,
L4361,NU,$185.74,03/01/23,
L4361,RR,$18.58,03/01/23,
L4370,,$126.64,03/01/23,
L4370,NU,$126.64,03/01/23,
L4370,RR,$12.66,03/01/23,
L4386,,$114.35,03/01/23,
L4386,NU,$114.35,03/01/23,
L4386,RR,$11.44,03/01/23,
L4387,,$114.35,03/01/23,
L4387,NU,$114.35,03/01/23,
L4387,RR,$11.44,03/01/23,
L4392,,$16.99,03/01/23,
L4392,NU,$16.99,03/01/23,
L4392,RR,$1.70,03/01/23,
L4394,,$12.39,03/01/23,
L4394,NU,$12.39,03/01/23,
L4394,RR,$1.24,03/01/23,
L4396,,$121.07,03/01/23,
L4396,NU,$121.07,03/01/23,
L4396,RR,$12.10,03/01/23,
L4397,,$121.07,03/01/23,
L4397,NU,$121.07,03/01/23,
L4397,RR,$12.10,03/01/23,
L4398,,$55.72,03/01/23,
L4398,NU,$55.72,03/01/23,
L4398,RR,$5.57,03/01/23,
L4631,,"$1,066.82",03/01/23,
L4631,NU,"$1,066.82",03/01/23,
L4631,RR,$106.69,03/01/23,
L5000,,$481.45,03/01/23,
L5000,NU,$481.45,03/01/23,
L5000,RR,$48.14,03/01/23,
L5010,,"$1,093.20",03/01/23,
L5010,NU,"$1,093.20",03/01/23,
L5010,RR,$109.32,03/01/23,
L5020,,"$1,642.27",03/01/23,
L5020,NU,"$1,642.27",03/01/23,
L5020,RR,$164.23,03/01/23,
L5050,,"$2,067.36",03/01/23,
L5050,NU,"$2,067.36",03/01/23,
L5050,RR,$206.73,03/01/23,
L5060,,"$2,336.02",03/01/23,
L5060,NU,"$2,336.02",03/01/23,
L5060,RR,$233.60,03/01/23,
L5100,,"$2,031.52",03/01/23,
L5100,NU,"$2,031.52",03/01/23,
L5100,RR,$203.15,03/01/23,
L5105,,"$2,482.70",03/01/23,
L5105,NU,"$2,482.70",03/01/23,
L5105,RR,$248.27,03/01/23,
L5150,,"$2,959.33",03/01/23,
L5150,NU,"$2,959.33",03/01/23,
L5150,RR,$295.94,03/01/23,
L5160,,"$3,113.57",03/01/23,
L5160,NU,"$3,113.57",03/01/23,
L5160,RR,$311.36,03/01/23,
L5200,,"$2,705.93",03/01/23,
L5200,NU,"$2,705.93",03/01/23,
L5200,RR,$270.59,03/01/23,
L5210,,"$2,000.12",03/01/23,
L5210,NU,"$2,000.12",03/01/23,
L5210,RR,$200.02,03/01/23,
L5220,,"$2,512.76",03/01/23,
L5220,NU,"$2,512.76",03/01/23,
L5220,RR,$251.27,03/01/23,
L5230,,"$2,978.31",03/01/23,
L5230,NU,"$2,978.31",03/01/23,
L5230,RR,$297.83,03/01/23,
L5250,,"$4,032.07",03/01/23,
L5250,NU,"$4,032.07",03/01/23,
L5250,RR,$403.21,03/01/23,
L5270,,"$3,831.27",03/01/23,
L5270,NU,"$3,831.27",03/01/23,
L5270,RR,$383.13,03/01/23,
L5280,,"$4,170.58",03/01/23,
L5280,NU,"$4,170.58",03/01/23,
L5280,RR,$417.06,03/01/23,
L5301,,"$1,970.97",03/01/23,
L5301,NU,"$1,970.97",03/01/23,
L5301,RR,$197.10,03/01/23,
L5312,,"$2,630.69",03/01/23,
L5312,NU,"$2,630.69",03/01/23,
L5312,RR,$263.07,03/01/23,
L5321,,"$2,749.80",03/01/23,
L5321,NU,"$2,749.80",03/01/23,
L5321,RR,$274.98,03/01/23,
L5331,,"$4,139.72",03/01/23,
L5331,NU,"$4,139.72",03/01/23,
L5331,RR,$413.97,03/01/23,
L5341,,"$4,320.05",03/01/23,
L5341,NU,"$4,320.05",03/01/23,
L5341,RR,$432.00,03/01/23,
L5400,,"$1,019.22",03/01/23,
L5400,NU,"$1,019.22",03/01/23,
L5400,RR,$101.93,03/01/23,
L5410,,$398.13,03/01/23,
L5410,NU,$398.13,03/01/23,
L5410,RR,$39.81,03/01/23,
L5420,,"$1,305.25",03/01/23,
L5420,NU,"$1,305.25",03/01/23,
L5420,RR,$130.53,03/01/23,
L5430,,$479.51,03/01/23,
L5430,NU,$479.51,03/01/23,
L5430,RR,$47.95,03/01/23,
L5450,,$388.21,03/01/23,
L5450,NU,$388.21,03/01/23,
L5450,RR,$38.82,03/01/23,
L5460,,$519.59,03/01/23,
L5460,NU,$519.59,03/01/23,
L5460,RR,$51.96,03/01/23,
L5500,,"$1,025.57",03/01/23,
L5500,NU,"$1,025.57",03/01/23,
L5500,RR,$102.56,03/01/23,
L5505,,"$1,657.36",03/01/23,
L5505,NU,"$1,657.36",03/01/23,
L5505,RR,$165.74,03/01/23,
L5510,,"$1,219.27",03/01/23,
L5510,NU,"$1,219.27",03/01/23,
L5510,RR,$121.92,03/01/23,
L5520,,"$1,370.30",03/01/23,
L5520,NU,"$1,370.30",03/01/23,
L5520,RR,$137.03,03/01/23,
L5530,,"$1,416.13",03/01/23,
L5530,NU,"$1,416.13",03/01/23,
L5530,RR,$141.61,03/01/23,
L5535,,"$1,418.91",03/01/23,
L5535,NU,"$1,418.91",03/01/23,
L5535,RR,$141.89,03/01/23,
L5540,,"$1,521.33",03/01/23,
L5540,NU,"$1,521.33",03/01/23,
L5540,RR,$152.14,03/01/23,
L5560,,"$1,829.66",03/01/23,
L5560,NU,"$1,829.66",03/01/23,
L5560,RR,$182.97,03/01/23,
L5570,,"$1,806.47",03/01/23,
L5570,NU,"$1,806.47",03/01/23,
L5570,RR,$180.65,03/01/23,
L5580,,"$2,017.05",03/01/23,
L5580,NU,"$2,017.05",03/01/23,
L5580,RR,$201.71,03/01/23,
L5585,,"$2,023.70",03/01/23,
L5585,NU,"$2,023.70",03/01/23,
L5585,RR,$202.37,03/01/23,
L5590,,"$1,980.04",03/01/23,
L5590,NU,"$1,980.04",03/01/23,
L5590,RR,$198.00,03/01/23,
L5595,,"$2,877.58",03/01/23,
L5595,NU,"$2,877.58",03/01/23,
L5595,RR,$287.76,03/01/23,
L5600,,"$3,177.72",03/01/23,
L5600,NU,"$3,177.72",03/01/23,
L5600,RR,$317.77,03/01/23,
L5610,,"$1,714.86",03/01/23,
L5610,NU,"$1,714.86",03/01/23,
L5610,RR,$171.49,03/01/23,
L5611,,"$1,151.44",03/01/23,
L5611,NU,"$1,151.44",03/01/23,
L5611,RR,$115.14,03/01/23,
L5613,,"$1,773.57",03/01/23,
L5613,NU,"$1,773.57",03/01/23,
L5613,RR,$177.36,03/01/23,
L5614,,"$1,219.41",03/01/23,
L5614,NU,"$1,219.41",03/01/23,
L5614,RR,$121.94,03/01/23,
L5615,,"$3,904.07",01/01/24,
L5615,NU,"$39,040.70",01/01/24,
L5615,RR,"$3,904.07",01/01/24,
L5616,,"$1,294.17",03/01/23,
L5616,NU,"$1,294.17",03/01/23,
L5616,RR,$129.42,03/01/23,
L5617,,$404.31,03/01/23,
L5617,NU,$404.31,03/01/23,
L5617,RR,$40.43,03/01/23,
L5618,,$215.91,03/01/23,
L5618,NU,$215.91,03/01/23,
L5618,RR,$21.59,03/01/23,
L5620,,$264.91,03/01/23,
L5620,NU,$264.91,03/01/23,
L5620,RR,$26.49,03/01/23,
L5622,,$345.45,03/01/23,
L5622,NU,$345.45,03/01/23,
L5622,RR,$34.54,03/01/23,
L5624,,$346.43,03/01/23,
L5624,NU,$346.43,03/01/23,
L5624,RR,$34.65,03/01/23,
L5626,,$380.43,03/01/23,
L5626,NU,$380.43,03/01/23,
L5626,RR,$38.05,03/01/23,
L5628,,$410.57,03/01/23,
L5628,NU,$410.57,03/01/23,
L5628,RR,$41.06,03/01/23,
L5629,,$302.82,03/01/23,
L5629,NU,$302.82,03/01/23,
L5629,RR,$30.28,03/01/23,
L5630,,$369.67,03/01/23,
L5630,NU,$369.67,03/01/23,
L5630,RR,$36.96,03/01/23,
L5631,,$418.68,03/01/23,
L5631,NU,$418.68,03/01/23,
L5631,RR,$41.87,03/01/23,
L5632,,$158.68,03/01/23,
L5632,NU,$158.68,03/01/23,
L5632,RR,$15.87,03/01/23,
L5634,,$217.39,03/01/23,
L5634,NU,$217.39,03/01/23,
L5634,RR,$21.74,03/01/23,
L5636,,$182.10,03/01/23,
L5636,NU,$182.10,03/01/23,
L5636,RR,$18.21,03/01/23,
L5637,,$275.28,03/01/23,
L5637,NU,$275.28,03/01/23,
L5637,RR,$27.53,03/01/23,
L5638,,$360.73,03/01/23,
L5638,NU,$360.73,03/01/23,
L5638,RR,$36.07,03/01/23,
L5639,,$801.26,03/01/23,
L5639,NU,$801.26,03/01/23,
L5639,RR,$80.12,03/01/23,
L5640,,$456.98,03/01/23,
L5640,NU,$456.98,03/01/23,
L5640,RR,$45.70,03/01/23,
L5642,,$456.67,03/01/23,
L5642,NU,$456.67,03/01/23,
L5642,RR,$45.67,03/01/23,
L5643,,"$1,196.35",03/01/23,
L5643,NU,"$1,196.35",03/01/23,
L5643,RR,$119.63,03/01/23,
L5644,,$503.55,03/01/23,
L5644,NU,$503.55,03/01/23,
L5644,RR,$50.35,03/01/23,
L5645,,$571.38,03/01/23,
L5645,NU,$571.38,03/01/23,
L5645,RR,$57.14,03/01/23,
L5646,,$508.29,03/01/23,
L5646,NU,$508.29,03/01/23,
L5646,RR,$50.83,03/01/23,
L5647,,$568.49,03/01/23,
L5647,NU,$568.49,03/01/23,
L5647,RR,$56.85,03/01/23,
L5648,,$554.43,03/01/23,
L5648,NU,$554.43,03/01/23,
L5648,RR,$55.44,03/01/23,
L5649,,"$1,736.43",03/01/23,
L5649,NU,"$1,736.43",03/01/23,
L5649,RR,$173.64,03/01/23,
L5650,,$409.41,03/01/23,
L5650,NU,$409.41,03/01/23,
L5650,RR,$40.94,03/01/23,
L5651,,"$1,144.33",03/01/23,
L5651,NU,"$1,144.33",03/01/23,
L5651,RR,$114.43,03/01/23,
L5652,,$363.51,03/01/23,
L5652,NU,$363.51,03/01/23,
L5652,RR,$36.35,03/01/23,
L5653,,$425.75,03/01/23,
L5653,NU,$425.75,03/01/23,
L5653,RR,$42.57,03/01/23,
L5654,,$281.73,03/01/23,
L5654,NU,$281.73,03/01/23,
L5654,RR,$28.17,03/01/23,
L5655,,$219.17,03/01/23,
L5655,NU,$219.17,03/01/23,
L5655,RR,$21.92,03/01/23,
L5656,,$271.66,03/01/23,
L5656,NU,$271.66,03/01/23,
L5656,RR,$27.17,03/01/23,
L5658,,$259.85,03/01/23,
L5658,NU,$259.85,03/01/23,
L5658,RR,$25.98,03/01/23,
L5661,,$434.91,03/01/23,
L5661,NU,$434.91,03/01/23,
L5661,RR,$43.49,03/01/23,
L5665,,$391.07,03/01/23,
L5665,NU,$391.07,03/01/23,
L5665,RR,$39.11,03/01/23,
L5666,,$66.70,03/01/23,
L5666,NU,$66.70,03/01/23,
L5666,RR,$6.67,03/01/23,
L5668,,$96.23,03/01/23,
L5668,NU,$96.23,03/01/23,
L5668,RR,$9.62,03/01/23,
L5670,,$258.57,03/01/23,
L5670,NU,$258.57,03/01/23,
L5670,RR,$25.86,03/01/23,
L5671,,$410.90,03/01/23,
L5671,NU,$410.90,03/01/23,
L5671,RR,$41.09,03/01/23,
L5672,,$213.11,03/01/23,
L5672,NU,$213.11,03/01/23,
L5672,RR,$21.31,03/01/23,
L5673,,$523.57,03/01/23,
L5673,NU,$523.57,03/01/23,
L5673,RR,$52.36,03/01/23,
L5676,,$337.27,03/01/23,
L5676,NU,$337.27,03/01/23,
L5676,RR,$33.73,03/01/23,
L5677,,$469.83,03/01/23,
L5677,NU,$469.83,03/01/23,
L5677,RR,$46.98,03/01/23,
L5678,,$37.84,03/01/23,
L5678,NU,$37.84,03/01/23,
L5678,RR,$3.78,03/01/23,
L5679,,$436.29,03/01/23,
L5679,NU,$436.29,03/01/23,
L5679,RR,$43.63,03/01/23,
L5680,,$233.29,03/01/23,
L5680,NU,$233.29,03/01/23,
L5680,RR,$23.33,03/01/23,
L5681,,$950.55,03/01/23,
L5681,NU,$950.55,03/01/23,
L5681,RR,$95.06,03/01/23,
L5682,,$456.00,03/01/23,
L5682,NU,$456.00,03/01/23,
L5682,RR,$45.60,03/01/23,
L5683,,$950.55,03/01/23,
L5683,NU,$950.55,03/01/23,
L5683,RR,$95.06,03/01/23,
L5684,,$38.47,03/01/23,
L5684,NU,$38.47,03/01/23,
L5684,RR,$3.85,03/01/23,
L5685,,$92.54,03/01/23,
L5685,NU,$92.54,03/01/23,
L5685,RR,$9.25,03/01/23,
L5686,,$38.61,03/01/23,
L5686,NU,$38.61,03/01/23,
L5686,RR,$3.86,03/01/23,
L5688,,$54.88,03/01/23,
L5688,NU,$54.88,03/01/23,
L5688,RR,$5.49,03/01/23,
L5690,,$77.11,03/01/23,
L5690,NU,$77.11,03/01/23,
L5690,RR,$7.71,03/01/23,
L5692,,$126.62,03/01/23,
L5692,NU,$126.62,03/01/23,
L5692,RR,$12.66,03/01/23,
L5694,,$172.87,03/01/23,
L5694,NU,$172.87,03/01/23,
L5694,RR,$17.29,03/01/23,
L5695,,$155.39,03/01/23,
L5695,NU,$155.39,03/01/23,
L5695,RR,$15.54,03/01/23,
L5696,,$158.63,03/01/23,
L5696,NU,$158.63,03/01/23,
L5696,RR,$15.86,03/01/23,
L5697,,$57.37,03/01/23,
L5697,NU,$57.37,03/01/23,
L5697,RR,$5.74,03/01/23,
L5698,,$85.53,03/01/23,
L5698,NU,$85.53,03/01/23,
L5698,RR,$8.55,03/01/23,
L5699,,$133.25,03/01/23,
L5699,NU,$133.25,03/01/23,
L5699,RR,$13.33,03/01/23,
L5700,,"$2,047.46",03/01/23,
L5700,NU,"$2,047.46",03/01/23,
L5700,RR,$204.75,03/01/23,
L5701,,"$2,458.85",03/01/23,
L5701,NU,"$2,458.85",03/01/23,
L5701,RR,$245.89,03/01/23,
L5702,,"$3,110.82",03/01/23,
L5702,NU,"$3,110.82",03/01/23,
L5702,RR,$311.08,03/01/23,
L5703,,"$1,904.73",03/01/23,
L5703,NU,"$1,904.73",03/01/23,
L5703,RR,$190.47,03/01/23,
L5704,,$383.04,03/01/23,
L5704,NU,$383.04,03/01/23,
L5704,RR,$38.30,03/01/23,
L5705,,$684.40,03/01/23,
L5705,NU,$684.40,03/01/23,
L5705,RR,$68.44,03/01/23,
L5706,,$670.91,03/01/23,
L5706,NU,$670.91,03/01/23,
L5706,RR,$67.09,03/01/23,
L5707,,$884.51,03/01/23,
L5707,NU,$884.51,03/01/23,
L5707,RR,$88.45,03/01/23,
L5710,,$305.88,03/01/23,
L5710,NU,$305.88,03/01/23,
L5710,RR,$30.59,03/01/23,
L5711,,$387.45,03/01/23,
L5711,NU,$387.45,03/01/23,
L5711,RR,$38.75,03/01/23,
L5712,,$406.04,03/01/23,
L5712,NU,$406.04,03/01/23,
L5712,RR,$40.60,03/01/23,
L5714,,$343.04,03/01/23,
L5714,NU,$343.04,03/01/23,
L5714,RR,$34.31,03/01/23,
L5716,,$606.36,03/01/23,
L5716,NU,$606.36,03/01/23,
L5716,RR,$60.64,03/01/23,
L5718,,$668.98,03/01/23,
L5718,NU,$668.98,03/01/23,
L5718,RR,$66.90,03/01/23,
L5722,,$650.34,03/01/23,
L5722,NU,$650.34,03/01/23,
L5722,RR,$65.04,03/01/23,
L5724,,"$1,438.30",03/01/23,
L5724,NU,"$1,438.30",03/01/23,
L5724,RR,$143.83,03/01/23,
L5726,,"$1,657.60",03/01/23,
L5726,NU,"$1,657.60",03/01/23,
L5726,RR,$165.76,03/01/23,
L5728,,"$1,770.94",03/01/23,
L5728,NU,"$1,770.94",03/01/23,
L5728,RR,$177.09,03/01/23,
L5780,,$942.73,03/01/23,
L5780,NU,$942.73,03/01/23,
L5780,RR,$94.28,03/01/23,
L5781,,"$2,891.43",03/01/23,
L5781,NU,"$2,891.43",03/01/23,
L5781,RR,$289.14,03/01/23,
L5782,,"$3,048.19",03/01/23,
L5782,NU,"$3,048.19",03/01/23,
L5782,RR,$304.82,03/01/23,
L5783,,"$1,809.55",04/01/24,
L5783,NU,"$1,809.55",04/01/24,
L5783,RR,"$1,809.55",04/01/24,
L5785,,$413.98,03/01/23,
L5785,NU,$413.98,03/01/23,
L5785,RR,$41.40,03/01/23,
L5790,,$685.14,03/01/23,
L5790,NU,$685.14,03/01/23,
L5790,RR,$68.52,03/01/23,
L5795,,"$1,023.10",03/01/23,
L5795,NU,"$1,023.10",03/01/23,
L5795,RR,$102.31,03/01/23,
L5810,,$384.16,03/01/23,
L5810,NU,$384.16,03/01/23,
