HCPCS,Mod,Mod2,JURIS,CATG,Ceiling,Floor,AL (NR),AL (R),AR (NR),AR (R),AZ (NR),AZ (R),CA (NR),CA (R),CO (NR),CO (R),CT (NR),CT (R),DC (NR),DC (R),DE (NR),DE (R),FL (NR),FL (R),GA (NR),GA (R),IA (NR),IA (R),ID (NR),ID (R),IL (NR),IL (R),IN (NR),IN (R),KS (NR),KS (R),KY (NR),KY (R),LA (NR),LA (R),MA (NR),MA (R),MD (NR),MD (R),ME (NR),ME (R),MI (NR),MI (R),MN (NR),MN (R),MO (NR),MO (R),MS (NR),MS (R),MT (NR),MT (R),NC (NR),NC (R),ND (NR),ND (R),NE (NR),NE (R),NH (NR),NH (R),NJ (NR),NJ (R),NM (NR),NM (R),NV (NR),NV (R),NY (NR),NY (R),OH (NR),OH (R),OK (NR),OK (R),OR (NR),OR (R),PA (NR),PA (R),RI (NR),RI (R),SC (NR),SC (R),SD (NR),SD (R),TN (NR),TN (R),TX (NR),TX (R),UT (NR),UT (R),VA (NR),VA (R),VT (NR),VT (R),WA (NR),WA (R),WI (NR),WI (R),WV (NR),WV (R),WY (NR),WY (R),AK (NR),AK (R),HI (NR),HI (R),PR (NR),PR (R),VI (NR),VI (R),Description
A4236,NU,,D,IN,0,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,Silvr oxide batt glucose mon
A4238,KF,,D,SU,0,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,280.71,0,Adju cgm supply allowance
A4239,,,D,SU,273.28,232.29,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,273.28,0,Non-adju cgm supply allow
A4239,KF,,D,SU,317.97,270.27,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,317.97,0,Non-adju cgm supply allow
A4253,NU,,D,IN,0,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,Blood glucose/reagent strips
A4255,,,D,SU,5.85,4.97,5.85,0,5.85,0,5.85,0,5.85,0,5.85,0,5.58,0,5.58,0,5.58,0,5.58,0,5.75,0,5.85,0,5.85,0,5.58,0,5.85,0,5.85,0,5.85,0,5.85,0,5.58,0,5.58,0,5.58,0,5.75,0,5.85,0,5.85,0,5.85,0,5.85,0,5.7,0,5.85,0,5.85,0,5.58,0,5.58,0,5.85,0,5.85,0,5.58,0,5.58,0,5.85,0,5.85,0,5.58,0,5.58,0,5.85,0,5.85,0,5.85,0,5.58,0,5.85,0,5.58,0,5.58,0,5.85,0,5.85,0,5.58,0,5.85,0,6.02,0,6.47,0,6.11,0,5.85,0,Glucose monitor platforms
A4256,,,D,SU,0,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,Calibrator solution/chips
A4257,,,D,SU,18.19,15.46,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,18.19,0,21.83,0,18.19,0,Replace lensshield cartridge
A4258,,,D,SU,0,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,Lancet device each
A4259,,,D,SU,0,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,Lancets per box
A4265,,,J,SU,4.86,4.13,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,4.86,0,5.75,0,4.86,0,Paraffin
A4271,,,D,SU,34.1,28.99,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,Home lancing/test cartridges
A4280,,,D,PO,9.08,6.81,7.61,0,7.61,0,7.38,0,7.38,0,7.64,0,7.77,0,7.38,0,7.38,0,7.61,0,7.61,0,7.52,0,7.38,0,7.59,0,7.59,0,7.52,0,7.61,0,7.61,0,7.77,0,7.38,0,7.77,0,7.59,0,7.59,0,7.52,0,7.61,0,7.64,0,7.61,0,7.64,0,7.52,0,7.77,0,7.52,0,7.61,0,7.38,0,7.52,0,7.59,0,7.61,0,7.38,0,7.38,0,7.77,0,7.61,0,7.64,0,7.61,0,7.61,0,7.64,0,7.38,0,7.77,0,7.38,0,7.59,0,7.38,0,7.64,0,7.46,0,8,0,8.13,0,8.13,0,Brst prsths adhsv attchmnt
A4295,,,J,OS,2.58,2.19,2.58,0,2.43,0,2.58,0,2.19,0,2.19,0,2.58,0,2.46,0,2.46,0,2.58,0,2.57,0,2.58,0,2.19,0,2.58,0,2.19,0,2.58,0,2.19,0,2.43,0,2.58,0,2.58,0,2.58,0,2.58,0,2.58,0,2.58,0,2.39,0,2.19,0,2.19,0,2.19,0,2.58,0,2.58,0,2.46,0,2.58,0,2.58,0,2.19,0,2.43,0,2.58,0,2.58,0,2.46,0,2.58,0,2.58,0,2.19,0,2.19,0,2.58,0,2.19,0,2.32,0,2.58,0,2.58,0,2.58,0,2.43,0,2.19,0,1.61,0,1.69,0,2.11,0,2.19,0,Straigh tip hydrophilic cath
A4296,,,J,OS,9.15,7.78,9.15,0,7.78,0,9.15,0,9.15,0,8.88,0,9.15,0,9.15,0,9.15,0,7.78,0,8.99,0,9.15,0,9.15,0,7.78,0,7.78,0,9.15,0,7.78,0,7.78,0,9.15,0,9.15,0,9.15,0,7.78,0,7.78,0,9.15,0,9.15,0,7.78,0,8.44,0,7.78,0,9.15,0,9.15,0,9.15,0,7.81,0,9.15,0,9.15,0,7.78,0,7.81,0,9.15,0,9.15,0,7.78,0,9.15,0,7.78,0,7.78,0,9.11,0,7.78,0,9.15,0,9.15,0,9.15,0,7.78,0,7.78,0,7.78,0,14.3,0,15.27,0,11.08,0,9.15,0,Coude tip hydrophilic cath
A4297,,,J,OS,9.99,8.49,9.99,0,9.99,0,9.99,0,9.99,0,9.99,0,9.97,0,9.97,0,9.97,0,9.97,0,9.99,0,9.99,0,9.99,0,9.97,0,9.99,0,9.99,0,9.99,0,9.99,0,9.97,0,9.97,0,9.97,0,9.99,0,9.99,0,9.99,0,9.99,0,9.99,0,9.99,0,9.99,0,9.99,0,9.97,0,9.97,0,9.99,0,9.99,0,9.97,0,9.97,0,9.99,0,9.99,0,9.97,0,9.97,0,9.99,0,9.99,0,9.99,0,9.97,0,9.99,0,9.97,0,9.97,0,9.99,0,9.99,0,9.97,0,9.99,0,10.06,0,10.75,0,10.97,0,9.99,0,Hydrophilic coat insert sup
A4310,,,J,OS,11.01,9.36,9.93,0,9.66,0,10.99,0,11.01,0,11.01,0,11.01,0,10.19,0,10.19,0,9.36,0,9.88,0,11.01,0,9.36,0,11.01,0,11.01,0,10.54,0,9.66,0,10.91,0,11.01,0,10.19,0,11.01,0,11.01,0,11.01,0,11.01,0,9.36,0,9.97,0,9.36,0,11.01,0,10.19,0,11.01,0,10.19,0,11.01,0,11.01,0,11.01,0,11.01,0,11.01,0,9.36,0,10.19,0,11.01,0,9.36,0,11.01,0,10.49,0,9.36,0,9.36,0,11.01,0,11.01,0,11.01,0,11.01,0,11.01,0,11.01,0,13.45,0,14.41,0,25.22,0,11.01,0,Insert tray w/o bag/cath
A4311,,,J,OS,21.11,17.94,21.11,0,21.11,0,20.9,0,21.11,0,18.71,0,19.83,0,17.94,0,17.94,0,17.94,0,21.11,0,17.94,0,17.94,0,21.11,0,21.11,0,17.94,0,21.11,0,21.11,0,19.91,0,17.94,0,19.91,0,21.11,0,21.11,0,17.94,0,21.11,0,21.11,0,21.11,0,21.11,0,18.3,0,18.96,0,17.94,0,21.11,0,21.11,0,19.29,0,21.11,0,21.11,0,17.94,0,17.94,0,17.94,0,21.11,0,21.11,0,20.33,0,18.33,0,21.11,0,17.94,0,19.71,0,21.11,0,21.11,0,21.11,0,21.11,0,26.22,0,28,0,16.05,0,19.29,0,Catheter w/o bag 2-way latex
A4312,,,J,OS,25.7,21.85,22.15,0,25.7,0,25.7,0,25.7,0,21.85,0,21.85,0,21.85,0,21.85,0,25.7,0,21.85,0,25.7,0,21.85,0,25.7,0,25.7,0,25.7,0,25.2,0,25.7,0,21.85,0,21.85,0,21.85,0,25.7,0,25.7,0,25.7,0,25.7,0,23.73,0,25.7,0,22.87,0,25.7,0,21.85,0,21.85,0,25.7,0,25.7,0,21.85,0,25.7,0,25.7,0,21.85,0,21.85,0,21.85,0,25.7,0,22.87,0,25.7,0,25.7,0,25.7,0,21.85,0,21.85,0,24.45,0,25.7,0,25.7,0,23.43,0,33.37,0,35.7,0,36.59,0,21.85,0,Cath w/o bag 2-way silicone
A4313,,,J,OS,26.4,22.44,22.44,0,26.38,0,26.4,0,26.4,0,22.44,0,26.4,0,25.88,0,25.88,0,22.44,0,22.44,0,26.4,0,22.44,0,26.4,0,26.4,0,26.4,0,26.4,0,26.4,0,22.44,0,22.44,0,22.44,0,22.44,0,26.4,0,26.4,0,26.4,0,23.73,0,26.4,0,22.87,0,26.4,0,22.44,0,25.88,0,26.4,0,26.4,0,26.4,0,26.4,0,26.4,0,22.44,0,25.88,0,22.44,0,26.4,0,22.87,0,26.4,0,26.4,0,26.4,0,22.44,0,22.44,0,24.45,0,26.4,0,26.4,0,23.43,0,37.88,0,40.49,0,26.56,0,26.4,0,Catheter w/bag 3-way
A4314,,,J,OS,36.03,30.63,31.06,0,36.03,0,30.63,0,36.03,0,36.03,0,36.03,0,34.2,0,34.2,0,30.63,0,33.25,0,36.03,0,30.63,0,36.03,0,36.03,0,36.03,0,36.03,0,36.03,0,30.63,0,30.63,0,30.63,0,36.03,0,36.03,0,36.03,0,30.63,0,32.82,0,36.03,0,36.03,0,36.03,0,30.63,0,34.2,0,33.51,0,30.63,0,34.76,0,36.03,0,34.91,0,30.63,0,34.2,0,30.63,0,36.03,0,36.03,0,34.64,0,36.03,0,36.03,0,30.63,0,30.63,0,36.03,0,36.03,0,36.03,0,36.03,0,39.08,0,41.77,0,36.59,0,34.76,0,Cath w/drainage 2-way latex
A4315,,,J,OS,37.59,31.95,31.95,0,36.1,0,37.59,0,37.59,0,37.59,0,31.95,0,36.78,0,36.78,0,31.95,0,31.95,0,37.59,0,31.95,0,37.59,0,37.59,0,37.59,0,37.59,0,36.03,0,31.95,0,31.95,0,31.95,0,37.59,0,37.59,0,37.59,0,37.59,0,32.82,0,37.59,0,37.59,0,37.59,0,31.95,0,36.78,0,33.51,0,37.59,0,37.59,0,37.59,0,34.91,0,31.95,0,36.78,0,31.95,0,37.59,0,37.59,0,37.59,0,36.65,0,37.59,0,31.95,0,31.95,0,37.59,0,37.59,0,37.59,0,37.04,0,45.23,0,48.37,0,36.59,0,37.59,0,Cath w/drainage 2-way silcne
A4316,,,J,OS,40.47,34.4,34.4,0,36.1,0,40.47,0,40.47,0,40.47,0,34.4,0,38.4,0,38.4,0,34.4,0,40.47,0,40.47,0,34.4,0,40.47,0,40.47,0,40.12,0,40.47,0,36.03,0,40.47,0,34.4,0,40.47,0,40.47,0,40.47,0,40.47,0,40.47,0,34.4,0,40.47,0,39.05,0,40.12,0,39.55,0,38.4,0,34.4,0,40.47,0,40.47,0,40.47,0,34.91,0,34.4,0,38.4,0,37.19,0,39.08,0,39.05,0,40.47,0,40.47,0,40.47,0,34.4,0,40.47,0,40.47,0,40.47,0,40.47,0,37.04,0,45.23,0,48.37,0,36.59,0,40.47,0,Cath w/drainage 3-way
A4320,,,J,OS,7.61,6.47,7.61,0,7.61,0,7.49,0,6.47,0,7.52,0,7.61,0,7.16,0,7.16,0,7.61,0,6.72,0,6.77,0,7.61,0,7.09,0,7.44,0,7.36,0,7.61,0,7.61,0,7.61,0,7.61,0,7.61,0,7.01,0,7.61,0,7.11,0,6.47,0,6.73,0,6.47,0,7.61,0,7.36,0,7.61,0,7.16,0,7.61,0,7.61,0,6.96,0,6.78,0,7.61,0,7.61,0,7.16,0,7.61,0,7.61,0,7.61,0,6.52,0,6.47,0,7.21,0,7.61,0,7.61,0,7.61,0,7.61,0,6.78,0,7.61,0,6.34,0,6.79,0,8.42,0,6.96,0,Irrigation tray
A4321,,,J,OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cath therapeutic irrig agent
A4322,,,D,OS,4.35,3.7,4.35,0,4.31,0,4.35,0,4.35,0,4.34,0,4.35,0,4.21,0,4.21,0,4.02,0,4.24,0,4.35,0,3.78,0,4.02,0,4.28,0,4.35,0,4.28,0,4.35,0,4.35,0,4.35,0,4.35,0,4.35,0,4.31,0,4.35,0,4.31,0,4.35,0,4.19,0,4.35,0,4.35,0,4.35,0,4.21,0,4.3,0,4.35,0,4.35,0,4.15,0,4.28,0,3.91,0,4.21,0,4.35,0,4.28,0,4.35,0,4.35,0,4.02,0,3.8,0,4.02,0,4.35,0,4.35,0,4.35,0,4.15,0,4.35,0,5.19,0,5.58,0,4.45,0,4.35,0,Irrigation syringe
