HCPCS,Mod,Mod2,JURIS,CATG,Ceiling,Floor,AL (NR),AL (R),AR (NR),AR (R),AZ (NR),AZ (R),CA (NR),CA (R),CO (NR),CO (R),CT (NR),CT (R),DC (NR),DC (R),DE (NR),DE (R),FL (NR),FL (R),GA (NR),GA (R),IA (NR),IA (R),ID (NR),ID (R),IL (NR),IL (R),IN (NR),IN (R),KS (NR),KS (R),KY (NR),KY (R),LA (NR),LA (R),MA (NR),MA (R),MD (NR),MD (R),ME (NR),ME (R),MI (NR),MI (R),MN (NR),MN (R),MO (NR),MO (R),MS (NR),MS (R),MT (NR),MT (R),NC (NR),NC (R),ND (NR),ND (R),NE (NR),NE (R),NH (NR),NH (R),NJ (NR),NJ (R),NM (NR),NM (R),NV (NR),NV (R),NY (NR),NY (R),OH (NR),OH (R),OK (NR),OK (R),OR (NR),OR (R),PA (NR),PA (R),RI (NR),RI (R),SC (NR),SC (R),SD (NR),SD (R),TN (NR),TN (R),TX (NR),TX (R),UT (NR),UT (R),VA (NR),VA (R),VT (NR),VT (R),WA (NR),WA (R),WI (NR),WI (R),WV (NR),WV (R),WY (NR),WY (R),AK (NR),AK (R),HI (NR),HI (R),PR (NR),PR (R),VI (NR),VI (R),Description
A4236,NU,,D,IN,0,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,Silvr oxide batt glucose mon
A4238,KF,,D,SU,0,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,275.21,0,Adju cgm supply allowance
A4239,,,D,SU,267.92,227.73,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,267.92,0,Non-adju cgm supply allow
A4239,KF,,D,SU,311.74,264.98,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,311.74,0,Non-adju cgm supply allow
A4253,NU,,D,IN,0,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,Blood glucose/reagent strips
A4255,,,D,SU,5.74,4.88,5.74,0,5.74,0,5.74,0,5.74,0,5.74,0,5.47,0,5.47,0,5.47,0,5.47,0,5.64,0,5.74,0,5.74,0,5.47,0,5.74,0,5.74,0,5.74,0,5.74,0,5.47,0,5.47,0,5.47,0,5.64,0,5.74,0,5.74,0,5.74,0,5.74,0,5.59,0,5.74,0,5.74,0,5.47,0,5.47,0,5.74,0,5.74,0,5.47,0,5.47,0,5.74,0,5.74,0,5.47,0,5.47,0,5.74,0,5.74,0,5.74,0,5.47,0,5.74,0,5.47,0,5.47,0,5.74,0,5.74,0,5.47,0,5.74,0,5.9,0,6.34,0,5.99,0,5.74,0,Glucose monitor platforms
A4256,,,D,SU,0,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,Calibrator solution/chips
A4257,,,D,SU,17.83,15.16,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,17.83,0,21.4,0,17.83,0,Replace lensshield cartridge
A4258,,,D,SU,0,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,Lancet device each
A4259,,,D,SU,0,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,Lancets per box
A4265,,,J,SU,4.76,4.05,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,4.76,0,5.64,0,4.76,0,Paraffin
A4271,,,D,SU,33.43,28.42,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,33.43,0,Home lancing/test cartridges
A4280,,,D,PO,8.9,6.67,7.46,0,7.46,0,7.24,0,7.24,0,7.49,0,7.62,0,7.24,0,7.24,0,7.46,0,7.46,0,7.37,0,7.24,0,7.44,0,7.44,0,7.37,0,7.46,0,7.46,0,7.62,0,7.24,0,7.62,0,7.44,0,7.44,0,7.37,0,7.46,0,7.49,0,7.46,0,7.49,0,7.37,0,7.62,0,7.37,0,7.46,0,7.24,0,7.37,0,7.44,0,7.46,0,7.24,0,7.24,0,7.62,0,7.46,0,7.49,0,7.46,0,7.46,0,7.49,0,7.24,0,7.62,0,7.24,0,7.44,0,7.24,0,7.49,0,7.31,0,7.84,0,7.97,0,7.97,0,Brst prsths adhsv attchmnt
A4310,,,J,OS,10.79,9.17,9.74,0,9.47,0,10.77,0,10.79,0,10.79,0,10.79,0,9.99,0,9.99,0,9.17,0,9.69,0,10.79,0,9.17,0,10.79,0,10.79,0,10.33,0,9.47,0,10.7,0,10.79,0,9.99,0,10.79,0,10.79,0,10.79,0,10.79,0,9.17,0,9.77,0,9.17,0,10.79,0,9.99,0,10.79,0,9.99,0,10.79,0,10.79,0,10.79,0,10.79,0,10.79,0,9.17,0,9.99,0,10.79,0,9.17,0,10.79,0,10.28,0,9.17,0,9.17,0,10.79,0,10.79,0,10.79,0,10.79,0,10.79,0,10.79,0,13.19,0,14.13,0,24.73,0,10.79,0,Insert tray w/o bag/cath
A4311,,,J,OS,20.7,17.6,20.7,0,20.7,0,20.49,0,20.7,0,18.34,0,19.44,0,17.6,0,17.6,0,17.6,0,20.7,0,17.6,0,17.6,0,20.7,0,20.7,0,17.6,0,20.7,0,20.7,0,19.52,0,17.6,0,19.52,0,20.7,0,20.7,0,17.6,0,20.7,0,20.7,0,20.7,0,20.7,0,17.94,0,18.59,0,17.6,0,20.7,0,20.7,0,18.91,0,20.7,0,20.7,0,17.6,0,17.6,0,17.6,0,20.7,0,20.7,0,19.93,0,17.97,0,20.7,0,17.6,0,19.32,0,20.7,0,20.7,0,20.7,0,20.7,0,25.71,0,27.45,0,15.74,0,18.91,0,Catheter w/o bag 2-way latex
A4312,,,J,OS,25.2,21.42,21.72,0,25.2,0,25.2,0,25.2,0,21.42,0,21.42,0,21.42,0,21.42,0,25.2,0,21.42,0,25.2,0,21.42,0,25.2,0,25.2,0,25.2,0,24.71,0,25.2,0,21.42,0,21.42,0,21.42,0,25.2,0,25.2,0,25.2,0,25.2,0,23.26,0,25.2,0,22.42,0,25.2,0,21.42,0,21.42,0,25.2,0,25.2,0,21.42,0,25.2,0,25.2,0,21.42,0,21.42,0,21.42,0,25.2,0,22.42,0,25.2,0,25.2,0,25.2,0,21.42,0,21.42,0,23.97,0,25.2,0,25.2,0,22.97,0,32.72,0,35,0,35.87,0,21.42,0,Cath w/o bag 2-way silicone
A4313,,,J,OS,25.88,22,22,0,25.86,0,25.88,0,25.88,0,22,0,25.88,0,25.37,0,25.37,0,22,0,22,0,25.88,0,22,0,25.88,0,25.88,0,25.88,0,25.88,0,25.88,0,22,0,22,0,22,0,22,0,25.88,0,25.88,0,25.88,0,23.26,0,25.88,0,22.42,0,25.88,0,22,0,25.37,0,25.88,0,25.88,0,25.88,0,25.88,0,25.88,0,22,0,25.37,0,22,0,25.88,0,22.42,0,25.88,0,25.88,0,25.88,0,22,0,22,0,23.97,0,25.88,0,25.88,0,22.97,0,37.14,0,39.7,0,26.04,0,25.88,0,Catheter w/bag 3-way
A4314,,,J,OS,35.32,30.02,30.45,0,35.32,0,30.02,0,35.32,0,35.32,0,35.32,0,33.53,0,33.53,0,30.02,0,32.6,0,35.32,0,30.02,0,35.32,0,35.32,0,35.32,0,35.32,0,35.32,0,30.02,0,30.02,0,30.02,0,35.32,0,35.32,0,35.32,0,30.02,0,32.18,0,35.32,0,35.32,0,35.32,0,30.02,0,33.53,0,32.85,0,30.02,0,34.08,0,35.32,0,34.23,0,30.02,0,33.53,0,30.02,0,35.32,0,35.32,0,33.96,0,35.32,0,35.32,0,30.02,0,30.02,0,35.32,0,35.32,0,35.32,0,35.32,0,38.31,0,40.95,0,35.87,0,34.08,0,Cath w/drainage 2-way latex
A4315,,,J,OS,36.85,31.32,31.32,0,35.39,0,36.85,0,36.85,0,36.85,0,31.32,0,36.06,0,36.06,0,31.32,0,31.32,0,36.85,0,31.32,0,36.85,0,36.85,0,36.85,0,36.85,0,35.32,0,31.32,0,31.32,0,31.32,0,36.85,0,36.85,0,36.85,0,36.85,0,32.18,0,36.85,0,36.85,0,36.85,0,31.32,0,36.06,0,32.85,0,36.85,0,36.85,0,36.85,0,34.23,0,31.32,0,36.06,0,31.32,0,36.85,0,36.85,0,36.85,0,35.93,0,36.85,0,31.32,0,31.32,0,36.85,0,36.85,0,36.85,0,36.31,0,44.34,0,47.42,0,35.87,0,36.85,0,Cath w/drainage 2-way silcne
A4316,,,J,OS,39.68,33.73,33.73,0,35.39,0,39.68,0,39.68,0,39.68,0,33.73,0,37.65,0,37.65,0,33.73,0,39.68,0,39.68,0,33.73,0,39.68,0,39.68,0,39.33,0,39.68,0,35.32,0,39.68,0,33.73,0,39.68,0,39.68,0,39.68,0,39.68,0,39.68,0,33.73,0,39.68,0,38.28,0,39.33,0,38.77,0,37.65,0,33.73,0,39.68,0,39.68,0,39.68,0,34.23,0,33.73,0,37.65,0,36.46,0,38.31,0,38.28,0,39.68,0,39.68,0,39.68,0,33.73,0,39.68,0,39.68,0,39.68,0,39.68,0,36.31,0,44.34,0,47.42,0,35.87,0,39.68,0,Cath w/drainage 3-way
A4320,,,J,OS,7.46,6.34,7.46,0,7.46,0,7.34,0,6.34,0,7.37,0,7.46,0,7.02,0,7.02,0,7.46,0,6.59,0,6.64,0,7.46,0,6.95,0,7.29,0,7.22,0,7.46,0,7.46,0,7.46,0,7.46,0,7.46,0,6.87,0,7.46,0,6.97,0,6.34,0,6.6,0,6.34,0,7.46,0,7.22,0,7.46,0,7.02,0,7.46,0,7.46,0,6.82,0,6.65,0,7.46,0,7.46,0,7.02,0,7.46,0,7.46,0,7.46,0,6.39,0,6.34,0,7.07,0,7.46,0,7.46,0,7.46,0,7.46,0,6.65,0,7.46,0,6.22,0,6.66,0,8.25,0,6.82,0,Irrigation tray
A4321,,,J,OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cath therapeutic irrig agent
A4322,,,D,OS,4.26,3.62,4.26,0,4.23,0,4.26,0,4.26,0,4.25,0,4.26,0,4.13,0,4.13,0,3.94,0,4.16,0,4.26,0,3.71,0,3.94,0,4.2,0,4.26,0,4.2,0,4.26,0,4.26,0,4.26,0,4.26,0,4.26,0,4.23,0,4.26,0,4.23,0,4.26,0,4.11,0,4.26,0,4.26,0,4.26,0,4.13,0,4.22,0,4.26,0,4.26,0,4.07,0,4.2,0,3.83,0,4.13,0,4.26,0,4.2,0,4.26,0,4.26,0,3.94,0,3.73,0,3.94,0,4.26,0,4.26,0,4.26,0,4.07,0,4.26,0,5.09,0,5.47,0,4.36,0,4.26,0,Irrigation syringe
A4326,,,J,OS,15.07,12.81,15.07,0,15.07,0,15.07,0,13.05,0,13.63,0,14.49,0,15.07,0,15.07,0,15.07,0,15.07,0,13.28,0,15.07,0,14.49,0,15.07,0,12.81,0,15.07,0,15.07,0,14.49,0,15.07,0,14.49,0,13.08,0,15.07,0,12.81,0,15.07,0,13.63,0,15.07,0,13.63,0,13.28,0,14.49,0,15.07,0,15.07,0,15.07,0,12.81,0,14.49,0,15.07,0,14.49,0,15.07,0,14.49,0,15.07,0,13.63,0,15.07,0,15.07,0,13.63,0,15.07,0,14.49,0,15.07,0,13.08,0,14.49,0,13.63,0,13.18,0,14.12,0,15.93,0,15.07,0,Male external catheter
A4327,,,J,OS,62.32,52.97,62.32,0,62.32,0,59.05,0,62.32,0,62.32,0,59.05,0,59.05,0,59.05,0,59.05,0,62.32,0,62.32,0,62.32,0,62.32,0,62.32,0,62.32,0,62.32,0,62.32,0,59.05,0,59.05,0,59.05,0,62.32,0,62.32,0,62.13,0,62.32,0,62.32,0,62.32,0,62.32,0,62.32,0,59.05,0,59.05,0,62.31,0,59.05,0,59.05,0,59.05,0,62.32,0,62.32,0,59.05,0,59.05,0,62.32,0,62.32,0,62.01,0,62.32,0,62.32,0,59.05,0,59.05,0,59.05,0,62.01,0,59.05,0,62.32,0,72.34,0,77.36,0,64.96,0,62.32,0,Fem urinary collect dev cup
A4328,,,J,OS,14.58,12.39,14.58,0,14.14,0,14.58,0,14.58,0,14.58,0,12.39,0,14.58,0,14.58,0,13.78,0,14.3,0,14.58,0,13.8,0,14.58,0,14.58,0,13.63,0,14.46,0,14.14,0,12.39,0,14.58,0,12.39,0,14.54,0,14.14,0,14.58,0,14.58,0,14.58,0,14.33,0,14.58,0,13.63,0,12.39,0,14.58,0,14.58,0,14.58,0,14.58,0,13.24,0,14.58,0,13.8,0,14.58,0,13.78,0,14.46,0,14.58,0,13.76,0,12.39,0,14.58,0,13.78,0,12.39,0,14.58,0,14.58,0,14.14,0,14.58,0,15.18,0,16.25,0,15.12,0,14.58,0,Fem urinary collect pouch
